,LocYear,fam1: A,fam1: B,fam1: G,fam1: H,fam1: N,fam4,fam5,fam7,fam8,fam15,fam16
1006,MS2023,2.9658531699801096,-1.4325521542399746,-0.22184805960488713,0.5507895331359806,-0.3853604325896709,2.661822147096198,4.015171652520715,-0.030721730665128844,1.6393986254914577,-1.2420621205708267,-0.21536015362178268
1007,MS2024,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,2.8894754714489705,3.142520806331811,-0.030721730665128844,-0.2406698271280431,-1.1134760583263699,-0.1791228719446706
1008,MT1990,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.23924145673277344
1009,MT1991,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.23961902674243338
1010,MT1992,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.23897715772601147
1011,MT1993,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.23790108319848066
1012,MT1994,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.2394491202380864
1013,MT1995,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.23803323270186164
1014,MT1996,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.2393358492351884
1015,MT1997,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.23961902674243338
1016,MT1998,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.23952463424001838
1017,MT1999,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.24078949377237915
1018,MT2000,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-1.6635910156064802,-0.34808257842381,-0.8030920016123608,1.6393986254914577,-1.1134760583263699,-0.2404308022632022
1019,MT2001,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-1.2082843669009347,-0.34808257842381,-1.5754622725595917,-0.2406698271280431,-1.1134760583263699,-0.24061958726803218
1020,MT2002,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-1.6635910156064802,-0.34808257842381,-0.8030920016123608,0.6993643991817066,-1.1134760583263699,-0.2404685592641682
1021,MT2003,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.9806310425481619,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-1.3706481828152837,-0.241620147793631
1022,MT2004,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-1.2082843669009347,-0.34808257842381,-0.8030920016123608,0.6993643991817066,-1.3706481828152837,-0.24137472728735204
1023,MT2005,0.4030803715221669,-1.0721426270633214,-1.6076705841708463,3.005006499306033,-1.3789112831037225,-0.9806310425481619,-0.34808257842381,-0.8030920016123608,0.6993643991817066,-1.2420621205708267,-0.24199771780329093
1024,MT2006,0.4030803715221669,0.009085954466637477,-0.914759321887867,1.287054622986997,-1.0477276662657053,-1.6635910156064802,-0.34808257842381,-0.8030920016123608,0.6993643991817066,-1.1134760583263699,-0.24014762475595727
1025,MT2007,0.4030803715221669,0.009085954466637477,-1.2612149530293566,1.5324763196040025,-1.0477276662657053,-1.4359376912537074,-0.34808257842381,-0.030721730665128844,0.6993643991817066,-1.2420621205708267,-0.241714540296046
1026,MT2008,1.6844667707511374,0.009085954466637477,-1.2612149530293566,1.0416329263699915,-0.7165440494276883,-0.7529777181953905,-0.34808257842381,0.741648540282102,-0.2406698271280431,-1.1134760583263699,-0.23960014824195036
