,LocYear,d1: 0 to 4,d1: 12 to 14,d1: 15 to 17,d1: 5 to 11,d2: Female,d2: Male,d3: Foreign-born,d3: Native-born,d4: H or L,d4: AI or AN,d4: A,d4: B,d4: NH or PI,d4: 2 or more,d4: W,d5
49,AL2000-2002,-0.17166817022955605,-0.16996050299982518,-0.16958545279619902,-0.1705078001992145,-0.1706842762046761,-0.17015007853679545,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.201837514367564
50,AL2001,-0.1604400848775664,-0.15723037281177668,-0.15661043067480765,-0.1566212309941661,-0.15788734836694038,-0.15784402806190403,-0.1521468242040133,-0.12396250104178205,-0.22066282096190554,-0.16140825347643295,-0.21359040449190644,0.05798640599315154,-0.2109971083165984,-0.21396603853639856,-0.11245807684503842,-0.15861263433746206
51,AL2001-2003,-0.17166817022955605,-0.16996050299982518,-0.16958545279619902,-0.1705078001992145,-0.1706842762046761,-0.17015007853679545,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.201837514367564
52,AL2002,-0.16066727220983026,-0.15456188128888484,-0.15644803209243816,-0.15874686621713915,-0.15820685661710435,-0.15833491160860577,-0.1521468242040133,-0.12396250104178205,-0.2190421253333249,-0.16259081811973225,-0.2128604338131776,0.05599826699207523,-0.20875140088782973,-0.21060741141039882,-0.11384491064824417,-0.15861263433746206
53,AL2002-2004,-0.17166817022955605,-0.16996050299982518,-0.16958545279619902,-0.1705078001992145,-0.1706842762046761,-0.17015007853679545,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.19904881243013808
54,AL2003,-0.16099822676651918,-0.15268407718122498,-0.15695708918717333,-0.1600743596983249,-0.1585796526410482,-0.15870994997196022,-0.1521468242040133,-0.12396250104178205,-0.21721463016801615,-0.16271752147437146,-0.21190995115858277,0.05321243402473265,-0.20705194661741022,-0.2073036321817497,-0.11507273997501427,-0.15861263433746206
55,AL2004,-0.1606971445926193,-0.15220363566204112,-0.1558196745006546,-0.16083492569488028,-0.15844381249641254,-0.15871890922175147,-0.1521468242040133,-0.12396250104178205,-0.21529062855223424,-0.16321025674241285,-0.21040438663370453,0.052048985183104114,-0.20504901837013007,-0.20293193212821498,-0.11595224071803528,-0.15861263433746206
56,AL2005,-0.16051201443086102,-0.15348104487775355,-0.1524467808668264,-0.16090898008329355,-0.15809613161175018,-0.1583074087952931,-0.16708111785642465,-0.11333419064909148,-0.21284681970586156,-0.16416757097746468,-0.20892416831294883,0.0507601346699228,-0.2027426161459893,-0.19844730993307602,-0.116341766968168,-0.19486575952399918
57,AL2006,-0.16020503639193698,-0.15425100736470704,-0.149437410213533,-0.15948384451960734,-0.1570183645478,-0.15734189336430165,-0.17454826468263035,-0.10864307433783495,-0.21011400212420955,-0.16333696009705206,-0.20705361844870618,0.051764218887286356,-0.200678993103337,-0.19371748537331077,-0.11616424668661612,-0.22554134140058757
58,AL2007,-0.15899520488898158,-0.15474275339022464,-0.14853297503172128,-0.1590024909949212,-0.15641756673768306,-0.1567695431508935,-0.16708111785642465,-0.10776349002947434,-0.20728723117278475,-0.16092959635890702,-0.2054010459399173,0.0510501260353886,-0.19746216894861435,-0.188487577043584,-0.11656117925879535,-0.18371095177429544
59,AL2008,-0.1572099369596692,-0.155821705716967,-0.1495798212780724,-0.15859574040967359,-0.15604957534908,-0.1565724396554861,-0.17828183809573317,-0.10776349002947434,-0.20456258344937386,-0.1608028930042678,-0.20377635425566318,0.04934414079530604,-0.19485229274761293,-0.1827382268624778,-0.11730667186228762,-0.1809222498368695
60,AL2009,-0.15698589408875155,-0.15688558536859767,-0.1508640192986559,-0.15792513678126469,-0.15612841504717243,-0.1566503642932053,-0.1708146912695275,-0.10732369787529404,-0.20221323858891405,-0.15969071911354585,-0.2025090440495367,0.0477330776538294,-0.1942453447938917,-0.17765350414338502,-0.11861458204618543,-0.16419003821231393
61,AL2010,-0.15744419932996206,-0.15721655619292435,-0.15275971044285377,-0.15765771815643903,-0.15654576314427654,-0.1570341535517047,-0.16334754444332183,-0.10629751618220667,-0.20049807897442057,-0.1575086057836483,-0.20121892225969998,0.04538005462233217,-0.1926672801142164,-0.1737270399624612,-0.12007663630767587,-0.1697674420871658
62,AL2011,-0.15799094254653484,-0.1567618638270562,-0.15526252244114075,-0.15815470538534576,-0.15714699773942445,-0.1578119414463726,-0.17454826468263035,-0.1074702952600208,-0.19918273179760151,-0.16237964586200024,-0.20020000485397432,0.04107982230200155,-0.19199963736512302,-0.16901012079030786,-0.12138500938670158,-0.17116179305587875
63,AL2012,-0.15937686388487815,-0.15531865518511564,-0.15699394117317259,-0.15897314351506855,-0.15779955457571282,-0.1586445266130195,-0.16708111785642465,-0.10761689264474758,-0.19886921348759884,-0.1661385120496302,-0.19825341637736407,0.03768788125548722,-0.18926837157337736,-0.16436418125002003,-0.1227017145780296,-0.16697874014973985
64,AL2013,-0.16115151925714707,-0.1549594230949546,-0.15735121805438548,-0.1595716126836527,-0.15840078917086073,-0.15946627733805838,-0.18574898492193886,-0.10908286649201523,-0.19795163628389392,-0.16939056481870332,-0.19683402894650245,0.034518876513955604,-0.18829725484742335,-0.16084101043196844,-0.12415798265042122,-0.22554134140058757
65,AL2014,-0.16159724665297273,-0.15678510086785333,-0.15686589613707355,-0.15978856461415225,-0.1588139878101705,-0.15991694843802268,-0.18201541150883602,-0.10937606126146877,-0.19705397310965173,-0.1724455234805599,-0.1957492114100582,0.032281675859656425,-0.1879330860751906,-0.15712748514664115,-0.12522541881537197,-0.1683730911184528
66,AL2015,-0.1614333416053014,-0.15951325506306216,-0.1556760142162508,-0.16007271404524906,-0.1591096912761459,-0.16027198475533155,-0.1708146912695275,-0.10981585341564908,-0.19580960157630234,-0.1757398107011794,-0.19457821677959736,0.030241286162099795,-0.1867798849631202,-0.15375917897993246,-0.12625374034201467,-0.1655843891810269
67,AL2016,-0.16122934467546582,-0.16159893648163684,-0.15511324066734725,-0.16029131162882446,-0.15933529074464856,-0.16061889524143444,-0.17454826468263035,-0.1109886324934632,-0.19424558433926944,-0.17954091134035577,-0.1932678180264626,0.028042402685219514,-0.1860515474186547,-0.14998112675654562,-0.1273336746754189,-0.16697874014973985
68,AL2017,-0.16124663921287,-0.16155623056882049,-0.15683529025039622,-0.16060700274387504,-0.15979391502718054,-0.16099059993044795,-0.1708146912695275,-0.11201481418655057,-0.19307474153009005,-0.18279296410942886,-0.1925682627926808,0.026157894232162516,-0.18550529426030557,-0.14645795593849403,-0.12852771265785187,-0.16279568724360094
69,AL2018,-0.16087402054334377,-0.1610563201776174,-0.15926189983695596,-0.16111084686059782,-0.16023943575878305,-0.16139439123499294,-0.18201541150883602,-0.11230800895600411,-0.1917159919813651,-0.1861294857815948,-0.19270006305411794,0.023955527375516886,-0.18708335893998085,-0.14273797795936077,-0.1296729152042908,-0.22554134140058757
70,AL2019,-0.16136377039801644,-0.1598875598283348,-0.1610626502714609,-0.16155078478287507,-0.16065525510827874,-0.16180443317892715,-0.1708146912695275,-0.11333419064909148,-0.19058957277637176,-0.187579535284688,-0.19266204374793414,0.022172907780596517,-0.18847933923353974,-0.1393438610174283,-0.1308236724922646,-0.17116179305587875
71,AL2020,-0.1601559041834024,-0.15057515872185318,-0.15504765662446726,-0.15787055595424898,-0.15652916531309918,-0.15720896309995713,-0.1521468242040133,-0.12396250104178205,-0.18149345685717352,-0.18711495631767755,-0.19187124217931123,0.029836343264377285,-0.18872211841502823,-0.13460113107005112,-0.12792502320131854,-0.15861263433746206
72,AL2021,-0.16138224410842544,-0.15015689198750487,-0.1538452825050007,-0.15814483146689065,-0.15666522385025033,-0.15739773240951221,-0.1708146912695275,-0.10820328218365464,-0.18051664818122057,-0.1892126007444823,-0.1922717122044472,0.028975077617393288,-0.190542962276192,-0.13047785972804568,-0.12871055623337466,-0.17116179305587875
73,AL2022,-0.16167585818662805,-0.15174015090235785,-0.15146739249315183,-0.15786781319912258,-0.15645949810065743,-0.15727126113920326,-0.17454826468263035,-0.10937606126146877,-0.17880965842496818,-0.1910568384620086,-0.19202078478363416,0.02772541512657222,-0.1886614236196561,-0.12558349147622858,-0.12914452041578633,-0.1655843891810269
74,AL2023,-0.16129577142140458,-0.15435086383732172,-0.14840555460555444,-0.15717938166239193,-0.155960252810244,-0.1568678865439509,-0.159613971030219,-0.10717710049056728,-0.17680293699449504,-0.19259135686819462,-0.1915341376644816,0.026615958671306686,-0.18410931396674668,-0.12048586336952387,-0.12918432939678623,-0.15861263433746206
75,AL2024,-0.16090310681079625,-0.15592407430210029,-0.14753297453028444,-0.15689194092514347,-0.15583882657163078,-0.1567880867144149,-0.14841325079091047,-0.10717710049056728,-0.1748003004931424,-0.19437928198365906,-0.19033779682989824,0.025026666653363516,-0.18429139835286304,-0.11674652730897277,-0.12979974846933698,-0.15861263433746206
76,AR1990,-0.21130135409489156,-0.21221486359094946,-0.21122632314553705,-0.21012854365338135,-0.21139679055007266,-0.21086215971609276,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
77,AR1991,-0.21073181353355877,-0.21071952861424778,-0.21094212562639042,-0.20985591379381552,-0.21083333786010477,-0.21029981052570737,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
78,AR1992,-0.20940642307613003,-0.2081603139859154,-0.2091326306528348,-0.20938607984066032,-0.20954307487858143,-0.20901863780555927,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
79,AR1993,-0.20905345729001765,-0.2063867625477778,-0.20814762078977053,-0.20941186173884863,-0.2089883578892332,-0.20846337267314835,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
80,AR1994,-0.20838604536928396,-0.20462325955971464,-0.20620071163113302,-0.20865897545664722,-0.20788067105066066,-0.20735992646630103,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
