,LocYear,educ4,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ13,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ19
10,AK1998,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.23957724477190873,-0.25012681961006644,-0.2128946856599151,-0.1946565175010869,-0.24631685630909067,-0.004029477331609247,-0.02666589082397953
11,AK1999,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.23851523499478103,-0.24763130739918657,-0.20007114889524974,-0.20290106528761556,-0.2454943631957667,-0.004029477331609247,-0.02666589082397953
12,AK2000,0.4576374838590417,-1.2163330507316976,-1.3801846056208416,-1.803168729159169,2.9853976216986906,-0.21802712627391574,-0.13546002260801102,-0.23515632035084227,-0.24746493991846125,-0.19939622590763575,-0.19481923883897892,-0.24299331270831218,1.004040634237103,-3.1512909500119095
13,AK2001,-0.69199911654049,-0.6167630709569882,-1.6575519645459014,-1.803168729159169,3.215468042721597,-0.5523005301055458,-0.13546002260801102,-0.22317783798091365,-0.2435553041214161,-0.20344576383331955,-0.19552436463651096,-0.23721068255443245,1.004040634237103,-2.986836999528334
14,AK2002,-0.69199911654049,-0.6167630709569882,-1.102817246695781,-1.4117611213584351,2.5252567796528775,-0.5523005301055458,-0.13546002260801102,-0.23503283084187396,-0.24648337178218183,-0.21671924925639424,-0.1848389967816021,-0.24155814615343058,1.6760873752829113,-3.1512909500119095
15,AK2003,-0.11718081634072425,-1.8159030305064077,-1.102817246695781,-1.803168729159169,3.4455384637445037,-0.8865739339371759,-3.2829661426342334,-0.2332545819127299,-0.2469325639801402,-0.21109489102627785,-0.18310330251075396,-0.240702081892624,2.684157486851624,-3.809106751946211
16,AK2004,-0.11718081634072425,-0.6167630709569882,-0.8254498877707205,-1.4117611213584351,2.5252567796528775,-1.2208473377688065,-0.13546002260801102,-0.23683577767281166,-0.24666637601097968,-0.1915221243854728,-0.183645706970394,-0.24113850680989793,1.004040634237103,-2.493475148077609
17,AK2005,-0.69199911654049,-0.017193091182278887,-1.934919323470962,-0.6289459057569671,2.755327200675784,-0.8865739339371759,-3.2829661426342334,-0.236662892360256,-0.24633364104952904,-0.19894627724922645,-0.18489323722756612,-0.24138189762914686,2.684157486851624,-3.4801988509790602
18,AK2006,-0.11718081634072425,-1.2163330507316976,-1.102817246695781,-1.4117611213584351,2.5252567796528775,-0.21802712627391574,-0.13546002260801102,-0.23663819445846232,-0.24566817112662773,-0.18994730408104024,-0.19313778501409476,-0.2419777854969632,1.3400640047600068,-2.1645672471104582
19,AK2007,-0.11718081634072425,-1.2163330507316976,-1.3801846056208416,-1.4117611213584351,2.755327200675784,-0.21802712627391574,-3.2829661426342334,-0.2347611539221436,-0.24648337178218183,-0.2194189412068501,-0.19020880093203854,-0.24239742484049584,1.004040634237103,-2.822383049044759
