,LocYear,econ1,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,econ12: 16-19,econ12: 16-24,econ12: 20-24
1787,SD2001,-1.2122639469468441,-0.7311038557005256,-1.0314462232509158,0.05577336238974617,-0.04114994853065934,-1.5063925413906312,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1788,SD2002,-0.38975360972285505,-0.7311038557005256,-1.0314462232509158,0.05577336238974617,-0.04114994853065934,-0.9722721572630919,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1789,SD2003,-0.38975360972285505,-0.7311038557005256,-0.8414945048925291,0.05577336238974617,-0.04114994853065934,-0.9722721572630919,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1790,SD2004,-0.38975360972285505,-0.5272773239737113,-1.2213979416093024,0.05577336238974617,-0.04114994853065934,-0.7942320292205786,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1791,SD2005,0.021501558889139204,0.08420227120673252,-0.08168763145898257,0.05577336238974617,-1.5160316814975938,0.0959686109919868,-0.28575514820272246,-0.02006543664342309,-1.1461181087558507,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1792,SD2006,0.021501558889139204,-0.11962426052008172,-0.08168763145898257,1.166876924129721,-1.5160316814975938,-0.08207151705052648,-0.28575514820272246,-0.02006543664342309,-0.8959600720425414,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1793,SD2007,0.021501558889139204,-0.11962426052008172,-0.27163934981736915,0.6113251432597325,-1.3521559333901565,-0.6161919011780653,-0.7178882119658592,-0.02006543664342309,-1.1156110311078862,-0.7190735657105445,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1794,SD2008,0.4327567275011334,0.08420227120673252,-0.27163934981736915,0.9816929971730581,-1.0244044371752823,-1.1503122853056047,-0.7178882119658592,1.1519286692390716,-0.7373232682731256,-0.7190735657105445,-0.7129423906478576,-1.3126009968649042,-1.4768381780121773
1795,SD2009,0.021501558889139204,0.2880288029335473,-0.46159106817575596,0.24095728934640898,-1.3521559333901565,-0.9722721572630919,0.5785109793235509,0.8589301427684476,-0.8105402546282405,0.3707723073194998,-0.10593564049124923,-0.880581570364046,-1.1497758417857364
1796,SD2010,0.021501558889139204,0.08420227120673252,-0.08168763145898257,0.9816929971730581,-1.5160316814975938,-1.1503122853056047,0.14637791556041393,1.1519286692390716,-0.7983374235690547,-0.17415062919552232,0.5010711096653583,-0.016542717362331354,0.15847350312002814
1797,SD2011,0.021501558889139204,0.08420227120673252,-0.08168763145898257,0.4261412163030718,-1.0244044371752823,-0.9722721572630919,-0.28575514820272246,1.1519286692390716,-0.5481793868557451,-0.17415062919552232,-1.319949140804465,-1.3126009968649042,-0.822713505559295
1798,SD2012,0.4327567275011334,-0.11962426052008172,-0.08168763145898257,-0.12941056456691663,-1.6799074296050311,-0.9722721572630919,0.14637791556041393,1.1519286692390716,-0.6824105285067893,-0.17415062919552232,-1.926955890961073,-1.3126009968649042,-0.4956511693328537
1799,SD2013,0.021501558889139204,0.2880288029335473,0.2982158052577908,0.24095728934640898,-1.843783177712468,-0.7942320292205786,-0.28575514820272246,0.8589301427684476,-0.780033176980276,-0.7190735657105445,-0.7129423906478576,-0.880581570364046,-0.822713505559295
1800,SD2014,-0.38975360972285505,0.08420227120673252,0.10826408689940398,0.6113251432597325,-1.6799074296050311,-1.1503122853056047,-0.28575514820272246,0.5659316162978246,-0.33462984331999307,-0.7190735657105445,-0.7129423906478576,-0.880581570364046,-0.822713505559295
1801,SD2015,0.4327567275011334,0.08420227120673252,-0.08168763145898257,0.7965090702163953,-1.6799074296050311,-0.9722721572630919,-0.7178882119658592,0.27293308982720077,-0.3468326743791789,-0.7190735657105445,-0.7129423906478576,-0.4485621438631887,-0.4956511693328537
