,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth28,hth30,hth31,hth32,hth33,target
3622,RI2011,-0.18008841442843163,-0.05965422636996764,-0.059654226369968005,1.0239638641365842,-0.09424211210583246,-2.3411229876978665,-0.27008649508109894,-0.2651284846383693,-0.931386321641623,-0.27036844294013584,-0.2634452824189589,-0.2605833277741272,Low
3623,RI2012,0.5394295239334229,-0.05965422636996764,-0.059654226369968005,1.311259851724854,-0.09424211210583246,-2.1847402601927506,-0.2661480578478488,-0.2637022369802314,-0.5963727246382139,-0.2726504871000481,-0.26350620291723487,-0.2618647777625483,Low
3624,RI2013,1.3836639049446657,-0.05965422636996764,-0.059654226369968005,1.167611857930719,-0.09424211210583246,-2.028357532687635,-0.2713993074921823,-0.2666215876554824,-1.0430575206427595,-0.2680863987802236,-0.2637158411024787,-0.26368768549255583,Low
3625,RI2014,0.7217074016517597,-0.05965422636996764,-0.059654226369968005,1.167611857930719,-0.09424211210583246,-2.3411229876978665,-0.26811727646447386,-0.2661981703819727,-1.1547287196438951,-0.27322099814002615,-0.26369075619142385,-0.2649330382982045,Low
3626,RI2015,0.7600816916977253,-0.8502450404400858,-0.8502450404400861,1.167611857930719,-1.8456431057660156,-1.8719748051825194,-0.26877368267001556,-0.2646827822452012,-1.1547287196438951,-0.26922742086017976,-0.263386153700044,-0.2660159537813773,Low
3627,RI2016,0.7504881191862339,-1.1137753117967917,-1.1137753117967921,1.167611857930719,-1.8456431057660156,-2.3411229876978665,-0.26811727646447386,-0.26412565425374107,-0.5963727246382139,-0.27322099814002615,-0.26373555067545035,-0.2670266748990052,Low
3628,RI2016,0.7504881191862339,-1.1137753117967917,-1.1137753117967921,1.167611857930719,-1.8456431057660156,-2.3411229876978665,-0.26811727646447386,-0.26412565425374107,-0.5963727246382139,-0.27322099814002615,-0.26373555067545035,-0.2670266748990052,Low
3629,RI2017,0.6257716765368456,-1.377305583153498,-1.3773055831534984,1.0239638641365842,-1.8456431057660156,-2.1847402601927506,-0.2713993074921823,-0.2655296167922206,-1.1547287196438951,-0.27036844294013584,-0.2640222353732196,-0.268109590382178,Low
3630,RI2018,0.7025202566287768,-1.640835854510204,-1.6408358545102042,1.0239638641365842,-1.8456431057660156,-2.028357532687635,-0.26877368267001556,-0.26539590607427016,-0.5963727246382139,-0.2709389539801139,-0.2642587502488793,-0.26816373615633665,Low
3631,RI2019,1.1246374471343978,-1.640835854510204,-1.6408358545102042,1.0239638641365842,-2.494310140454972,-2.3411229876978665,-0.26877368267001556,-0.2655073316725622,-0.5963727246382139,-0.2737915091800042,-0.26485182921738953,-0.26910226290841976,Low
3632,RI2020,0.7408945466747425,-1.9043661258669102,-1.9043661258669102,1.167611857930719,-2.494310140454972,-1.8719748051825194,-0.2661480578478488,-0.2659753191853887,-0.5963727246382139,-0.27207997606007006,-0.2649844208901078,-0.26966176924139235,Low
3633,RI2021,1.2781346073182602,-2.167896397223616,-2.1678963972236165,1.0239638641365842,-2.494310140454972,-2.1847402601927506,-0.2713993074921823,-0.2647942078434932,-0.5963727246382139,-0.26922742086017976,-0.26433400498204374,-0.2704198100796133,Low
3634,RI2022,1.297321752341243,-2.431426668580322,-2.4314266685803223,0.8803158703424493,-1.8456431057660156,-2.497505715202982,-0.27008649508109894,-0.2651061995187109,-0.5963727246382139,-0.2743620202199823,-0.26468340195745005,-0.27016712980020635,Low
3635,RI2023,1.1342310196458891,-2.431426668580322,-2.4314266685803223,0.8803158703424493,-1.8456431057660156,-1.0900611676569412,-0.26483524543676545,-0.26646559181787355,-0.5963727246382139,-0.26637486566028945,-0.265514787580981,-0.2706905389504065,Low
3636,RI2024,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.02466649056059994,-0.09424211210583246,-0.15176480262624725,-0.17096915804430413,-0.17511888633807304,-0.03801672963253273,-0.17109952198395353,-0.17871203643452138,-0.17819150809606432,Medium
3637,SC1990,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.5992584657371388,-0.09424211210583246,-0.15176480262624725,-0.10335931887351034,-0.16943618082517986,0.12949006886917186,-0.13173426022546741,-0.17806699586454047,-0.10013135035069265,High
3638,SC1991,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.3119624781488698,-0.09424211210583246,-0.15176480262624725,-0.1263335360674694,-0.16560314024393427,0.4645036658725811,-0.12089455046588429,-0.17992686284131876,-0.10384936017625254,High
3639,SC1992,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.19704408311356184,-0.09424211210583246,-0.15176480262624725,-0.10926697472338553,-0.17034987073117444,0.40866806637201286,-0.14542652518494084,-0.18239951835957896,-0.11220585798806922,High
3640,SC1993,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.1252200862164944,-0.09424211210583246,-0.15176480262624725,-0.11057978713446891,-0.1715532671927283,0.29699686737087644,-0.14942010246478726,-0.18662274231359288,-0.12310720718534193,Medium
3641,SC1994,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.010301691181186448,-0.09424211210583246,-0.15176480262624725,-0.09154400717375998,-0.17714683222698785,0.18532566836974007,-0.1448560141449628,-0.189833610928609,-0.12063455016543073,Medium
3642,SC1995,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,0.0758871050952945,-0.09424211210583246,-0.15176480262624725,-0.10926697472338553,-0.17765938997913117,0.24116126787030825,-0.1459970362249189,-0.1918350284749109,-0.12184380578830702,Medium
3643,SC1996,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,0.061522305715881014,-0.09424211210583246,-0.15176480262624725,-0.09679525681809346,-0.17855079476546734,0.12949006886917186,-0.1362983485452919,-0.1914927986169488,-0.12465938604455626,Medium
3644,SC1997,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,0.16207590137177547,-0.09424211210583246,-0.15176480262624725,-0.1473385346448034,-0.17652284887655253,0.29699686737087644,-0.14656754726489696,-0.18952721665786806,-0.12503840646366673,Medium
3645,SC1998,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,0.2769942964070834,-0.09424211210583246,-0.15176480262624725,-0.13880525397276147,-0.16894590819269495,0.8553528623765584,-0.1431444810250286,-0.18654748758042844,-0.12413597689435608,Medium
3646,SC1999,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,0.30572389516591036,-0.09424211210583246,-0.15176480262624725,-0.13486681673951134,-0.1628620705259505,1.022859660878263,-0.1431444810250286,-0.18462849188473524,-0.12276428394900388,Medium
3647,SC2000,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,0.4206422902012183,-0.09424211210583246,-0.15176480262624725,-0.14996415946697014,-0.16248322349175762,0.8553528623765584,-0.13686885958526995,-0.18253927714974147,-0.12429841421683199,Medium
3648,SC2001,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,0.4637366883394588,-0.09424211210583246,-0.15176480262624725,-0.14930775326142845,-0.1642437479447716,1.022859660878263,-0.14086243686511637,-0.18318073416100028,-0.1329797866736005,Medium
3649,SC2002,0.32837092868061196,-0.05965422636996764,-0.059654226369968005,0.5068310864776993,-0.09424211210583246,-0.15176480262624725,-0.14602572223372,-0.16168095918405506,1.190366459379966,-0.13173426022546741,-0.1853057844832152,-0.14333967812928683,Medium
3650,SC2003,0.9519531419275535,-0.05965422636996764,-0.059654226369968005,0.6073846821335929,-0.09424211210583246,-0.15176480262624725,-0.1519333780835952,-0.1585610424318784,1.3578732578816706,-0.14656754726489696,-0.18337245455263348,-0.14478356544018386,Medium
3651,SC2003,0.9519531419275535,-0.05965422636996764,-0.059654226369968005,0.6073846821335929,0.035491294831959,-0.15176480262624725,-0.1519333780835952,-0.1585610424318784,1.3578732578816706,-0.14656754726489696,-0.18337245455263348,-0.14478356544018386,Medium
