,LocYear,safe1: 1,safe1: 2,safe4,safe5,safe6,safe7,safe9_10,safe1112: E,safe1112: M,Neglect,safe1112: P,safe1112: S,safe1920: 1,safe1920: 2,safe212223
12,AK2012,-0.014846006611418971,-0.054680574081325845,-0.2510307553497104,-0.25557962406403895,-0.22644589221448844,-0.22961319551351755,1.3020549931637688,-0.17900997099523688,-0.23079048404643562,-0.23608793118059718,-0.24736267234267337,-0.26134341437637076,1.3548988215458588,-0.13354132455406723,-1.4770717801699818
13,AK2013,-0.3729557606841557,0.3778371130759828,-0.2483755907818666,-0.2543955139614394,-0.22356791229670128,-0.22569402164947175,0.8643173224231478,-0.16911122061406209,-0.23992360329986792,-0.24240739879947554,-0.25184233473204054,-0.2673916490437592,1.3548988215458588,-0.13354132455406723,-1.4770717801699818
14,AK2014,-0.3729557606841557,-0.054680574081325845,-0.24407959417771485,-0.2526041679087888,-0.21766047983387501,-0.2359344436813334,0.8643173224231478,-0.16911122061406209,-0.23231267058867433,-0.2423908556905256,-0.19034579296036014,-0.2651698485536982,2.6918222026732006,0.5480062503680482,0.1487698195854659
15,AK2015,-0.014846006611418971,0.23366455069021322,-0.23360810245509495,-0.24996269152606673,-0.21917520610639457,-0.23094065762875887,1.3020549931637688,-0.14055089164542656,-0.22673131993379905,-0.2361706467253469,-0.2544115528671188,-0.2629480480636371,2.02336051210953,1.059166931559635,0.1487698195854659
16,AK2016,-0.3729557606841557,-0.054680574081325845,-0.23888859828103148,-0.24880894322096975,-0.2258400017054806,-0.2205738106335409,1.73979266390439,-0.09722357440323516,-0.23231267058867433,-0.23577361211054826,-0.25144707040356695,-0.25973878068910444,1.3548988215458588,0.7183931440985771,-0.3931773803330164
17,AK2017,-0.3729557606841557,-0.3430256988528641,-0.23912726475903992,-0.2397914893627116,-0.21781195246112695,-0.21475826231915032,1.3020549931637688,-0.13211261263196605,-0.2668155655460852,-0.23989284623908416,-0.2503271548062252,-0.2638120815875497,0.6864371309821884,0.7183931440985771,-2.0190189800884646
18,AK2018,-0.3729557606841557,-0.3430256988528641,-0.23885876497128042,-0.242615136530449,-0.21978109661540238,-0.2169706991778859,1.0831861577934583,-0.14606822792345842,-0.23434225264499262,-0.24191110553097722,-0.2480873236115416,-0.2572701134779255,1.3548988215458588,1.5703276127512211,-1.4770717801699818
19,AK2019,-0.3729557606841557,-0.054680574081325845,-0.23411526872086286,-0.23991293655272183,-0.21326777364356828,-0.22032096070682827,1.73979266390439,-0.09576310303552084,-0.2236869468493216,-0.23736175056974282,-0.24413468032680583,-0.24764231135432752,0.01797544041851785,-0.13354132455406723,0.1487698195854659
20,AK2020,-0.3729557606841557,-0.054680574081325845,-0.23838143201526357,-0.2398825747552193,-0.21962962398815042,-0.2160225119527135,1.9586614992747005,-0.0837547829009809,-0.21252424553957103,-0.2375437247681922,-0.2312227122633357,-0.24566737758538434,0.01797544041851785,-0.13354132455406723,0.1487698195854659
21,AK2021,-0.7310655147568926,-1.7847513227105587,-0.23924659799804412,-0.24130957923783924,-0.22190171339692977,-0.21899349859158695,1.3020549931637688,-0.11199056267679103,-0.21810559619444633,-0.24179530376832764,-0.2388644892804915,-0.2540608461033928,1.3548988215458588,1.911101400212279,2.316558619259396
