,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,16 to 19,16 to 24,20 to 24
890,NJ2007,0.05,,0.12,0.1,0.69,0.47,0.28,0.04,,82600.0,0.03,,,
891,NJ2008,0.06,0.11,0.13,0.12,0.69,0.47,,0.05,0.13,86600.0,0.04,0.07,0.11,0.15
892,NJ2009,0.06,,0.13,0.11,0.67,0.48,,0.1,0.14,83700.0,0.07,0.07,0.12,0.17
893,NJ2010,0.06,0.16,0.14,0.12,0.66,0.48,,0.1,0.14,83200.0,0.08,0.08,0.13,0.18
894,NJ2011,0.07,,0.15,0.12,0.64,0.48,,0.1,0.15,82000.0,0.08,0.07,0.13,0.19
895,NJ2012,0.08,,0.15,0.12,0.64,0.45,,0.1,0.16,85200.0,0.07,0.06,0.13,0.18
896,NJ2013,0.08,0.2,0.17,0.11,0.62,0.44,,0.09,0.16,85200.0,0.07,0.06,0.12,0.17
897,NJ2014,0.07,0.2,0.16,0.11,0.61,0.42,,0.06,0.17,89000.0,0.05,0.06,0.11,0.16
898,NJ2015,0.07,0.2,0.16,0.11,0.6,0.42,,0.07,0.17,90300.0,0.05,0.06,0.12,0.16
899,NJ2016,0.06,0.2,0.15,0.12,0.6,0.39,,0.06,0.17,95700.0,0.04,0.05,0.1,0.14
900,NJ2017,0.06,0.19,0.14,0.12,0.61,0.37,,0.04,0.16,100000.0,0.03,0.07,0.1,0.13
901,NJ2018,0.06,0.17,0.14,0.12,0.63,0.36,,0.05,0.16,103400.0,0.03,0.05,0.1,0.15
902,NJ2019,0.05,0.16,0.12,0.12,0.62,0.34,,0.03,0.16,108400.0,0.02,0.06,0.1,0.13
903,NJ2020,,,,,,,,0.08,,,0.06,,,
904,NJ2021,0.07,0.2,0.14,0.13,0.64,0.35,,0.09,0.13,111900.0,0.06,0.06,0.11,0.15
905,NJ2022,0.05,0.21,0.13,0.14,0.65,0.35,0.24,0.04,0.15,120900.0,0.03,0.05,0.09,0.13
906,NJ2023,0.06,0.19,0.13,0.14,0.66,0.33,,0.05,0.15,126200.0,0.03,0.05,0.09,0.13
907,NJ2024,0.06,0.19,0.12,,,,,0.05,,131700.0,0.04,,,
908,NM2000,0.13,,0.26,0.2,,,0.38,,,,,,,
909,NM2001,0.09,,0.24,0.18,,,0.35,,,,,,,
910,NM2002,0.11,,0.27,0.2,,,0.38,,,,,,,
911,NM2003,0.14,,0.26,0.16,,,0.39,,,,,,,
912,NM2004,0.1,,0.28,0.16,,,0.37,,,,,,,
913,NM2005,0.12,0.24,0.26,0.14,,0.31,0.41,,,39300.0,,,,
914,NM2006,0.11,,0.26,0.17,0.68,0.29,0.38,,,42100.0,,,,
915,NM2007,0.11,,0.25,0.14,0.67,0.33,0.38,0.04,,44100.0,0.03,,,
916,NM2008,0.1,0.23,0.24,0.14,0.65,0.31,,0.05,0.31,45900.0,0.04,0.1,0.16,0.2
917,NM2009,0.1,,0.25,0.15,0.65,0.32,,0.09,0.29,44200.0,0.07,0.11,0.17,0.22
918,NM2010,0.13,0.32,0.3,0.16,0.61,0.33,,0.11,0.29,43200.0,0.09,0.12,0.18,0.22
919,NM2011,0.14,,0.31,0.19,0.63,0.36,,0.1,0.29,44000.0,0.08,0.11,0.18,0.22
920,NM2012,0.14,,0.29,0.16,0.62,0.33,,0.08,0.29,44200.0,0.06,0.12,0.18,0.24
921,NM2013,0.15,0.37,0.31,0.15,0.62,0.33,,0.09,0.3,45500.0,0.07,0.1,0.17,0.23
922,NM2014,0.14,0.35,0.3,0.17,0.6,0.31,,0.07,0.3,47300.0,0.05,0.09,0.15,0.19
923,NM2015,0.13,0.37,0.29,0.17,0.6,0.31,,0.08,0.31,49200.0,0.07,0.09,0.16,0.22
924,NM2016,0.13,0.38,0.3,0.19,0.6,0.32,,0.07,0.31,47700.0,0.06,0.09,0.16,0.22
925,NM2017,0.12,0.37,0.27,0.15,0.62,0.28,,0.06,0.28,52100.0,0.05,0.1,0.16,0.21
926,NM2018,0.13,0.37,0.26,0.18,0.61,0.26,,0.04,0.29,52400.0,0.04,0.12,0.17,0.22
927,NM2019,0.11,0.35,0.25,0.17,0.62,0.26,,0.03,0.3,53400.0,0.03,0.11,0.14,0.17
928,NM2020,,,,,,,,0.07,,,0.06,,,
929,NM2021,0.13,0.43,0.24,0.14,0.7,0.26,,0.08,0.27,58700.0,0.07,0.12,0.19,0.25
930,NM2022,0.11,0.4,0.23,0.14,0.71,0.28,0.32,0.03,0.28,67100.0,0.03,0.09,0.15,0.19
931,NM2023,0.13,0.41,0.25,0.14,0.66,0.29,,0.04,0.3,66000.0,0.03,0.1,0.13,0.15
932,NM2024,0.12,0.39,0.22,,,,,0.04,,78900.0,0.03,,,
933,NV2000,0.06,,0.13,0.19,,,0.3,,,,,,,
934,NV2001,0.07,,0.15,0.21,,,0.29,,,,,,,
935,NV2002,0.06,,0.17,0.19,,,0.34,,,,,,,
936,NV2003,0.06,,0.15,0.2,,,0.3,,,,,,,
937,NV2004,0.09,,0.19,0.18,,,0.36,,,,,,,
938,NV2005,0.06,0.11,0.15,0.17,,0.43,0.31,,,51400.0,,,,
939,NV2006,0.06,,0.14,0.16,0.6,0.47,0.3,,,56600.0,,,,
940,NV2007,0.06,,0.15,0.15,0.57,0.47,0.32,0.05,,59200.0,0.04,,,
941,NV2008,0.06,0.13,0.15,0.19,0.54,0.49,,0.08,0.21,60400.0,0.06,0.11,0.16,0.2
942,NV2009,0.08,,0.18,0.18,0.54,0.48,,0.13,0.21,55800.0,0.11,0.13,0.18,0.22
943,NV2010,0.1,0.23,0.22,0.18,0.5,0.47,,0.16,0.22,54400.0,0.13,0.15,0.2,0.25
944,NV2011,0.1,,0.22,0.2,0.47,0.44,,0.15,0.27,49700.0,0.12,0.13,0.17,0.2
945,NV2012,0.1,,0.24,0.2,0.44,0.45,,0.12,0.27,49300.0,0.1,0.1,0.17,0.22
946,NV2013,0.1,0.27,0.23,0.19,0.46,0.39,,0.09,0.26,52300.0,0.07,0.11,0.18,0.24
947,NV2014,0.1,0.27,0.22,0.2,0.44,0.37,,0.08,0.27,54200.0,0.06,0.09,0.15,0.19
948,NV2015,0.09,0.29,0.21,0.18,0.45,0.35,,0.06,0.26,56100.0,0.05,0.09,0.14,0.17
949,NV2016,0.08,0.28,0.19,0.19,0.47,0.34,,0.06,0.26,58500.0,0.04,0.1,0.15,0.18
950,NV2017,0.08,0.27,0.19,0.19,0.51,0.33,,0.04,0.25,63000.0,0.03,0.09,0.15,0.19
951,NV2018,0.07,0.26,0.18,0.19,0.54,0.33,,0.04,0.25,65400.0,0.04,0.09,0.13,0.16
952,NV2019,0.06,0.22,0.17,0.19,0.54,0.33,,0.04,0.24,69300.0,0.03,0.09,0.14,0.17
953,NV2020,,,,,,,,0.15,,,0.12,,,
954,NV2021,0.1,0.31,0.19,0.18,0.55,0.35,,0.09,0.2,72700.0,0.08,0.1,0.16,0.21
955,NV2022,0.08,0.28,0.16,0.19,0.56,0.35,0.28,0.06,0.22,79500.0,0.05,0.09,0.15,0.19
956,NV2023,0.08,0.31,0.16,0.19,0.56,0.36,,0.05,0.23,81400.0,0.04,0.09,0.14,0.18
957,NV2024,0.06,0.26,0.15,,,,,0.06,,91400.0,0.05,,,
958,NY2000,0.11,,0.19,0.2,,,0.35,,,,,,,
959,NY2001,0.1,,0.19,0.17,,,0.34,,,,,,,
960,NY2002,0.09,,0.19,0.19,,,0.34,,,,,,,
961,NY2003,0.1,,0.19,0.19,,,0.33,,,,,,,
962,NY2004,0.1,,0.21,0.17,,,0.35,,,,,,,
963,NY2005,0.1,0.19,0.19,0.17,,0.44,0.35,,,56700.0,,,,
964,NY2006,0.09,,0.2,0.17,0.57,0.46,0.34,,,59600.0,,,,
965,NY2007,0.09,,0.19,0.17,0.57,0.45,0.33,0.04,,61400.0,0.04,,,
966,NY2008,0.09,0.2,0.19,0.17,0.57,0.45,,0.06,0.21,64200.0,0.05,0.07,0.12,0.16
967,NY2009,0.1,,0.2,0.17,0.56,0.45,,0.08,0.19,63600.0,0.07,0.08,0.14,0.19
968,NY2010,0.1,0.26,0.21,0.18,0.55,0.45,,0.09,0.2,61800.0,0.07,0.08,0.15,0.2
969,NY2011,0.1,,0.23,0.19,0.53,0.46,,0.09,0.21,62100.0,0.07,0.08,0.14,0.19
970,NY2012,0.1,,0.23,0.19,0.53,0.45,,0.09,0.22,63200.0,0.07,0.08,0.14,0.18
971,NY2013,0.1,0.3,0.23,0.2,0.53,0.44,,0.08,0.22,65800.0,0.06,0.07,0.14,0.18
972,NY2014,0.1,0.29,0.23,0.2,0.52,0.44,,0.07,0.22,66400.0,0.05,0.07,0.14,0.18
973,NY2015,0.1,0.29,0.22,0.21,0.51,0.42,,0.05,0.22,67900.0,0.04,0.07,0.12,0.16
974,NY2016,0.1,0.27,0.21,0.21,0.52,0.4,,0.05,0.21,73300.0,0.04,0.06,0.12,0.15
975,NY2017,0.09,0.27,0.2,0.2,0.53,0.4,,0.05,0.21,74200.0,0.04,0.06,0.11,0.15
