,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,16 to 19,16 to 24,20 to 24
1319,WA2011,0.08,,0.18,0.14,0.6,0.41,,0.12,0.18,64300.0,0.09,0.09,0.15,0.2
1320,WA2012,0.09,,0.19,0.13,0.6,0.39,,0.09,0.19,65700.0,0.07,0.08,0.14,0.18
1321,WA2013,0.08,0.3,0.19,0.14,0.59,0.36,,0.07,0.21,66500.0,0.05,0.07,0.14,0.18
1322,WA2014,0.08,0.27,0.18,0.14,0.58,0.34,,0.06,0.2,69300.0,0.05,0.08,0.13,0.17
1323,WA2015,0.07,0.26,0.16,0.14,0.6,0.33,,0.05,0.19,72500.0,0.04,0.07,0.12,0.16
1324,WA2016,0.06,0.23,0.14,0.14,0.61,0.31,,0.06,0.17,79100.0,0.05,0.07,0.12,0.15
1325,WA2017,0.07,0.23,0.14,0.13,0.62,0.31,,0.05,0.16,82200.0,0.03,0.06,0.1,0.14
1326,WA2018,0.05,0.21,0.13,0.14,0.63,0.3,,0.05,0.16,85800.0,0.03,0.06,0.11,0.14
1327,WA2019,0.06,0.19,0.12,0.15,0.64,0.29,,0.04,0.16,91500.0,0.03,0.07,0.1,0.13
1328,WA2020,,,,,,,,0.08,,,0.06,,,
1329,WA2021,0.06,0.26,0.12,0.14,0.66,0.3,,0.05,0.12,101800.0,0.04,0.07,0.12,0.15
1330,WA2022,0.06,0.24,0.11,0.14,0.68,0.31,0.24,0.04,0.14,108900.0,0.02,0.08,0.11,0.14
1331,WA2023,0.06,0.24,0.12,0.14,0.66,0.31,,0.04,0.14,114600.0,0.03,0.08,0.11,0.14
1332,WA2024,0.05,0.22,0.11,,,,,0.04,,124000.0,0.03,,,
1333,WI2000,0.03,,0.12,0.12,,,0.27,,,,,,,
1334,WI2001,0.05,,0.14,0.09,,,0.29,,,,,,,
1335,WI2002,0.05,,0.14,0.11,,,0.3,,,,,,,
1336,WI2003,0.06,,0.14,0.09,,,0.3,,,,,,,
1337,WI2004,0.07,,0.14,0.09,,,0.3,,,,,,,
1338,WI2005,0.07,0.15,0.14,0.08,,0.32,0.3,,,58300.0,,,,
1339,WI2006,0.06,,0.15,0.08,0.74,0.34,0.28,,,60000.0,,,,
1340,WI2007,0.06,,0.14,0.08,0.72,0.34,0.29,0.05,,62000.0,0.04,,,
1341,WI2008,0.06,0.16,0.13,0.08,0.74,0.34,,0.05,0.19,64900.0,0.04,0.05,0.09,0.13
1342,WI2009,0.07,,0.17,0.08,0.71,0.35,,0.1,0.19,61500.0,0.07,0.06,0.11,0.15
1343,WI2010,0.08,0.26,0.19,0.09,0.7,0.36,,0.1,0.2,60100.0,0.07,0.07,0.11,0.15
1344,WI2011,0.08,,0.18,0.09,0.69,0.35,,0.09,0.21,62300.0,0.07,0.06,0.11,0.15
1345,WI2012,0.08,,0.18,0.1,0.68,0.31,,0.08,0.2,63600.0,0.06,0.06,0.11,0.15
1346,WI2013,0.07,0.27,0.18,0.1,0.67,0.3,,0.08,0.22,63700.0,0.06,0.05,0.1,0.14
1347,WI2014,0.07,0.27,0.18,0.09,0.66,0.29,,0.06,0.22,65400.0,0.04,0.06,0.1,0.14
1348,WI2015,0.07,0.25,0.16,0.09,0.67,0.25,,0.06,0.2,70700.0,0.04,0.05,0.08,0.11
1349,WI2016,0.07,0.25,0.16,0.1,0.68,0.25,,0.04,0.2,74000.0,0.03,0.05,0.09,0.11
1350,WI2017,0.06,0.22,0.14,0.09,0.69,0.23,,0.03,0.2,75300.0,0.02,0.05,0.09,0.12
1351,WI2018,0.06,0.21,0.14,0.09,0.69,0.23,,0.02,0.2,77300.0,0.02,0.05,0.08,0.11
1352,WI2019,0.06,0.2,0.14,0.09,0.69,0.22,,0.04,0.2,82000.0,0.03,0.05,0.08,0.11
1353,WI2020,,,,,,,,0.07,,,0.05,,,
1354,WI2021,0.06,0.24,0.13,0.1,0.72,0.21,,0.05,0.17,87000.0,0.04,0.06,0.09,0.13
1355,WI2022,0.06,0.23,0.13,0.09,0.74,0.22,0.2,0.04,0.18,94900.0,0.03,0.05,0.08,0.11
1356,WI2023,0.06,0.23,0.13,0.09,0.74,0.22,,0.03,0.19,101400.0,0.02,0.05,0.08,0.1
1357,WI2024,0.06,0.23,0.12,,,,,0.02,,102400.0,0.02,,,
1358,WV2000,0.14,,0.26,0.06,,,0.4,,,,,,,
1359,WV2001,0.11,,0.23,0.06,,,0.39,,,,,,,
1360,WV2002,0.1,,0.25,0.06,,,0.38,,,,,,,
1361,WV2003,0.11,,0.25,0.07,,,0.37,,,,,,,
1362,WV2004,0.11,,0.24,0.06,,,0.36,,,,,,,
1363,WV2005,0.11,0.26,0.26,0.06,,0.25,0.39,,,40600.0,,,,
1364,WV2006,0.12,,0.25,0.06,0.72,0.25,0.39,,,43500.0,,,,
1365,WV2007,0.11,,0.23,0.06,0.72,0.23,0.38,0.05,,44700.0,0.04,,,
1366,WV2008,0.11,0.27,0.23,0.05,0.72,0.25,,0.06,0.25,47200.0,0.05,0.1,0.16,0.22
1367,WV2009,0.11,,0.24,0.06,0.7,0.25,,0.09,0.23,47600.0,0.08,0.15,0.19,0.23
1368,WV2010,0.11,0.35,0.25,0.06,0.72,0.27,,0.1,0.23,47800.0,0.08,0.14,0.2,0.24
1369,WV2011,0.12,,0.26,0.06,0.68,0.26,,0.08,0.25,49100.0,0.08,0.11,0.2,0.26
1370,WV2012,0.13,,0.25,0.08,0.68,0.24,,0.09,0.23,51000.0,0.07,0.09,0.16,0.21
1371,WV2013,0.13,0.36,0.27,0.06,0.65,0.25,,0.07,0.22,51100.0,0.05,0.1,0.18,0.25
1372,WV2014,0.12,0.33,0.25,0.08,0.67,0.24,,0.07,0.25,51900.0,0.05,0.07,0.16,0.23
1373,WV2015,0.13,0.35,0.25,0.07,0.67,0.22,,0.07,0.23,53000.0,0.06,0.1,0.17,0.22
1374,WV2016,0.11,0.35,0.24,0.08,0.67,0.23,,0.07,0.24,53800.0,0.06,0.1,0.17,0.22
1375,WV2017,0.12,0.34,0.26,0.06,0.67,0.22,,0.07,0.23,53600.0,0.05,0.11,0.17,0.22
1376,WV2018,0.11,0.32,0.25,0.09,0.67,0.24,,0.07,0.25,57100.0,0.05,0.12,0.16,0.2
1377,WV2019,0.1,0.33,0.2,0.07,0.69,0.2,,0.06,0.25,58500.0,0.04,0.09,0.15,0.21
1378,WV2020,,,,,,,,0.09,,,0.08,,,
1379,WV2021,0.11,0.36,0.21,0.07,0.75,0.22,,0.04,0.21,68100.0,0.04,0.08,0.16,0.22
1380,WV2022,0.12,0.38,0.25,0.05,0.71,0.22,0.33,0.05,0.23,68700.0,0.04,0.1,0.14,0.17
1381,WV2023,0.09,0.3,0.2,0.06,0.75,0.19,,0.04,0.24,72800.0,0.02,0.09,0.14,0.18
1382,WV2024,0.1,0.31,0.22,,,,,0.05,,80300.0,0.03,,,
1383,WY2000,0.04,,0.15,0.1,,,0.33,,,,,,,
1384,WY2001,0.06,,0.13,0.11,,,0.28,,,,,,,
1385,WY2002,0.07,,0.14,0.1,,,0.3,,,,,,,
1386,WY2003,0.05,,0.12,0.11,,,0.28,,,,,,,
1387,WY2004,0.07,,0.14,0.09,,,0.32,,,,,,,
1388,WY2005,0.05,0.14,0.11,0.06,,0.2,0.29,,,53700.0,,,,
1389,WY2006,0.04,,0.12,0.1,0.67,0.23,0.33,,,53900.0,,,,
1390,WY2007,0.05,,0.12,0.11,0.68,0.21,0.31,0.03,,62100.0,0.02,,,
1391,WY2008,0.05,0.13,0.12,0.08,0.71,0.24,,0.03,0.21,61100.0,0.02,0.07,0.12,0.16
1392,WY2009,0.03,,0.13,0.1,0.7,0.24,,0.08,0.19,63500.0,0.06,0.09,0.12,0.15
1393,WY2010,0.05,0.16,0.14,0.11,0.64,0.25,,0.07,0.21,60900.0,0.06,0.09,0.14,0.17
1394,WY2011,0.06,,0.16,0.11,0.7,0.27,,0.06,0.22,65800.0,0.05,0.04,0.13,0.19
1395,WY2012,0.08,,0.17,0.1,0.64,0.27,,0.04,0.22,61700.0,0.04,0.07,0.11,0.14
1396,WY2013,0.06,0.13,0.13,0.08,0.67,0.2,,0.05,0.2,72700.0,0.03,0.05,0.12,0.17
1397,WY2014,0.06,0.17,0.13,0.09,0.65,0.22,,0.04,0.2,73400.0,0.03,0.04,0.09,0.12
1398,WY2015,0.04,0.15,0.13,0.13,0.63,0.22,,0.03,0.2,72900.0,0.03,0.1,0.12,0.14
1399,WY2016,0.04,0.16,0.11,0.09,0.69,0.2,,0.06,0.21,73100.0,0.04,0.05,0.1,0.13
1400,WY2017,0.07,0.13,0.13,0.13,0.7,0.22,,0.05,0.2,73000.0,0.03,0.08,0.1,0.12
1401,WY2018,0.06,0.13,0.14,0.09,0.71,0.2,,0.05,0.21,76500.0,0.03,0.07,0.1,0.14
1402,WY2019,0.05,0.12,0.12,0.1,0.74,0.17,,0.03,0.22,80000.0,0.02,0.07,0.11,0.15
1403,WY2020,,,,,,,,0.05,,,0.05,,,
1404,WY2021,0.07,0.13,0.13,0.11,0.74,0.24,,0.05,0.17,81700.0,0.04,0.07,0.08,0.09
1405,WY2022,0.05,0.13,0.14,0.1,0.76,0.22,0.21,0.04,0.18,87900.0,0.03,0.05,0.1,0.13
1406,WY2023,0.07,0.14,0.15,0.1,0.71,0.21,,0.03,0.22,91300.0,0.02,0.07,0.09,0.11
1407,WY2024,0.03,0.13,0.1,,,,,0.03,,90000.0,0.02,,,
