,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth12,hth13,hth14,hth151617,hth1819,hth2021,hth2223,hth2425,hth26,hth27,hth28,hth29,hth30,hth31,hth32,hth33
884,GA1997,,,,0.354,,,448,,,,,,,,,,1022,10390.0,,0.116,442,118221.0,17847.0
885,GA1998,,,,0.362,,,460,,,,,,,,,,1035,10458.0,,0.116,431,122368.0,17867.0
886,GA1999,,,,0.366,,,457,,,,,,,,,,1040,11027.0,,0.12,481,126717.0,18027.0
887,GA2000,,,,0.37,,,428,,,,,,,,,,1126,11455.0,,0.12,456,132644.0,17994.0
888,GA2001,,,,0.373,,,461,,,,,,,,0.13,,1146,11750.0,,0.126,470,133526.0,17279.0
889,GA2002,0.765,,,0.378,,,409,,,,,,,,,,1192,11915.0,,0.126,425,133300.0,16258.0
890,GA2003,0.746,N.C.,N.C.,0.381,N.C.,,414,,,,,,0.7,0.09,,,1151,12205.0,,0.131,456,135979.0,15864.0
891,GA2003,0.746,N.C.,N.C.,0.381,0.038,,414,,,,,,0.7,0.09,,,1151,12205.0,,0.131,456,135979.0,15864.0
892,GA2003,0.746,N.C.,0.076,0.381,N.C.,,414,,,,,,0.7,0.09,,,1151,12205.0,,0.131,456,135979.0,15864.0
893,GA2003,0.746,N.C.,0.076,0.381,0.038,,414,,,,,,0.7,0.09,,,1151,12205.0,,0.131,456,135979.0,15864.0
894,GA2003,0.746,0.076,N.C.,0.381,N.C.,,414,,,,,,0.7,0.09,,,1151,12205.0,,0.131,456,135979.0,15864.0
895,GA2003,0.746,0.076,N.C.,0.381,0.038,,414,,,,,,0.7,0.09,,,1151,12205.0,,0.131,456,135979.0,15864.0
896,GA2003,0.746,0.076,0.076,0.381,N.C.,,414,,,,,,0.7,0.09,,,1151,12205.0,,0.131,456,135979.0,15864.0
897,GA2003,0.746,0.076,0.076,0.381,0.038,,414,,,,,,0.7,0.09,,,1151,12205.0,,0.131,456,135979.0,15864.0
898,GA2004,0.82,N.C.,N.C.,0.392,N.C.,,417,,,,,,,,,,1181,12930.0,,0.128,423,138849.0,16191.0
899,GA2004,0.82,N.C.,N.C.,0.392,0.04,,417,,,,,,,,,,1181,12930.0,,0.128,423,138849.0,16191.0
900,GA2004,0.82,N.C.,0.079,0.392,N.C.,,417,,,,,,,,,,1181,12930.0,,0.128,423,138849.0,16191.0
901,GA2004,0.82,N.C.,0.079,0.392,0.04,,417,,,,,,,,,,1181,12930.0,,0.128,423,138849.0,16191.0
902,GA2004,0.82,0.079,N.C.,0.392,N.C.,,417,,,,,,,,,,1181,12930.0,,0.128,423,138849.0,16191.0
903,GA2004,0.82,0.079,N.C.,0.392,0.04,,417,,,,,,,,,,1181,12930.0,,0.128,423,138849.0,16191.0
904,GA2004,0.82,0.079,0.079,0.392,N.C.,,417,,,,,,,,,,1181,12930.0,,0.128,423,138849.0,16191.0
905,GA2004,0.82,0.079,0.079,0.392,0.04,,417,,,,,,,,,,1181,12930.0,,0.128,423,138849.0,16191.0
906,GA2005,0.824,N.C.,N.C.,0.406,N.C.,35.0,411,,,,,,,,0.14,,1159,13498.0,,0.136,461,142200.0,16548.0
907,GA2005,0.824,N.C.,N.C.,0.406,0.038,35.0,411,,,,,,,,0.14,,1159,13498.0,,0.136,461,142200.0,16548.0
908,GA2005,0.824,N.C.,0.075,0.406,N.C.,35.0,411,,,,,,,,0.14,,1159,13498.0,,0.136,461,142200.0,16548.0
909,GA2005,0.824,N.C.,0.075,0.406,0.038,35.0,411,,,,,,,,0.14,,1159,13498.0,,0.136,461,142200.0,16548.0
910,GA2005,0.824,0.075,N.C.,0.406,N.C.,35.0,411,,,,,,,,0.14,,1159,13498.0,,0.136,461,142200.0,16548.0
911,GA2005,0.824,0.075,N.C.,0.406,0.038,35.0,411,,,,,,,,0.14,,1159,13498.0,,0.136,461,142200.0,16548.0
912,GA2005,0.824,0.075,0.075,0.406,N.C.,35.0,411,,,,,,,,0.14,,1159,13498.0,,0.136,461,142200.0,16548.0
913,GA2005,0.824,0.075,0.075,0.406,0.038,35.0,411,,,,,,,,0.14,,1159,13498.0,,0.136,461,142200.0,16548.0
914,GA2006,0.813,N.C.,N.C.,0.424,N.C.,35.0,400,,,,,,,,,,1206,14232.0,,0.141,478,148633.0,17693.0
915,GA2006,0.813,N.C.,N.C.,0.424,0.041,35.0,400,,,,,,,,,,1206,14232.0,,0.141,478,148633.0,17693.0
916,GA2006,0.813,N.C.,0.074,0.424,N.C.,35.0,400,,,,,,,,,,1206,14232.0,,0.141,478,148633.0,17693.0
917,GA2006,0.813,N.C.,0.074,0.424,0.041,35.0,400,,,,,,,,,,1206,14232.0,,0.141,478,148633.0,17693.0
918,GA2006,0.813,0.074,N.C.,0.424,N.C.,35.0,400,,,,,,,,,,1206,14232.0,,0.141,478,148633.0,17693.0
