,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,econ12: 16-19,econ12: 16-24,econ12: 20-24
36,AL2010,0.13,0.33,0.28,0.09,0.64,0.35,0.37,0.12,0.23,47200.0,0.11,0.11,0.18,0.23
37,AL2011,0.12,,0.28,0.09,0.63,0.35,0.35,0.1,0.24,48900.0,0.08,0.1,0.17,0.23
38,AL2012,0.14,,0.27,0.09,0.61,0.32,0.35,0.11,0.26,50000.0,0.08,0.1,0.17,0.22
39,AL2013,0.13,0.33,0.27,0.08,0.6,0.31,0.34,0.08,0.25,50100.0,0.07,0.1,0.18,0.24
40,AL2014,0.13,0.34,0.28,0.09,0.59,0.31,0.34,0.08,0.27,49700.0,0.06,0.1,0.17,0.23
41,AL2015,0.13,0.34,0.27,0.08,0.61,0.29,0.33,0.07,0.25,53100.0,0.06,0.07,0.15,0.21
42,AL2016,0.11,0.31,0.25,0.08,0.62,0.27,0.31,0.07,0.25,56800.0,0.05,0.09,0.14,0.19
43,AL2017,0.11,0.31,0.25,0.09,0.63,0.24,0.31,0.05,0.25,58200.0,0.03,0.09,0.15,0.2
44,AL2018,0.11,0.29,0.24,0.09,0.62,0.26,0.31,0.05,0.24,62300.0,0.04,0.09,0.14,0.19
45,AL2019,0.1,0.28,0.21,0.08,0.64,0.24,0.31,0.03,0.25,62400.0,0.02,0.07,0.13,0.18
46,AL2020,,,,,,,,0.08,,,0.06,,,
47,AL2021,0.1,0.31,0.22,0.08,0.67,0.26,0.31,0.04,0.23,69100.0,0.03,0.1,0.14,0.18
48,AL2022,0.1,0.3,0.22,0.09,0.69,0.24,0.29,0.02,0.25,74600.0,0.02,0.07,0.12,0.16
49,AL2022,0.1,0.3,0.22,0.09,0.69,0.24,0.29,0.02,0.25,74600.0,0.02,0.07,0.12,0.16
50,AL2023,0.1,0.29,0.21,0.11,0.69,0.25,0.29,0.02,0.25,77300.0,0.02,0.07,0.11,0.15
51,AL2024,0.1,0.27,0.2,,,,0.28,0.04,,84000.0,0.03,,,
52,AR2000,0.1,,0.25,0.13,,,0.33,,,,,,,
53,AR2001,0.09,,0.21,0.11,,,0.34,,,,,,,
54,AR2002,0.1,,0.22,0.16,,,0.35,,,,,,,
55,AR2003,0.12,,0.24,0.15,,,0.37,,,,,,,
56,AR2004,0.12,,0.26,0.12,,,0.38,,,,,,,
57,AR2005,0.12,0.26,0.25,0.14,,0.29,0.36,,,41100.0,,,,
58,AR2006,0.11,,0.24,0.1,0.63,0.3,0.36,,,43300.0,,,,
59,AR2007,0.1,,0.26,0.11,0.62,0.31,0.39,0.07,,42900.0,0.05,,,
60,AR2008,0.11,0.28,0.25,0.11,0.63,0.31,0.32,0.06,0.28,45100.0,0.04,0.12,0.17,0.21
61,AR2009,0.12,,0.27,0.12,0.61,0.32,0.34,0.09,0.28,42100.0,0.07,0.1,0.17,0.23
62,AR2010,0.12,0.33,0.28,0.12,0.6,0.32,0.36,0.1,0.29,42200.0,0.08,0.12,0.19,0.24
63,AR2011,0.13,,0.28,0.11,0.59,0.32,0.36,0.09,0.28,44200.0,0.07,0.1,0.16,0.2
64,AR2012,0.13,,0.29,0.12,0.59,0.3,0.33,0.08,0.3,45400.0,0.07,0.11,0.18,0.23
65,AR2013,0.13,0.33,0.29,0.13,0.58,0.3,0.34,0.07,0.29,46500.0,0.06,0.1,0.17,0.22
66,AR2014,0.11,0.3,0.26,0.11,0.59,0.28,0.33,0.08,0.29,47900.0,0.06,0.08,0.15,0.21
67,AR2015,0.11,0.31,0.27,0.13,0.57,0.29,0.34,0.05,0.28,50300.0,0.04,0.09,0.15,0.2
68,AR2016,0.1,0.28,0.24,0.14,0.59,0.26,0.31,0.05,0.28,51900.0,0.03,0.1,0.15,0.2
69,AR2017,0.1,0.27,0.22,0.12,0.6,0.24,0.28,0.04,0.29,53600.0,0.03,0.08,0.15,0.2
70,AR2018,0.1,0.25,0.25,0.13,0.6,0.26,0.3,0.04,0.28,55600.0,0.03,0.1,0.15,0.18
71,AR2019,0.09,0.23,0.22,0.13,0.61,0.22,0.29,0.04,0.3,57300.0,0.03,0.07,0.13,0.18
72,AR2020,,,,,,,,0.06,,,0.05,,,
73,AR2021,0.1,0.25,0.22,0.12,0.63,0.25,0.3,0.05,0.27,63700.0,0.04,0.1,0.15,0.2
74,AR2022,0.12,0.24,0.22,0.13,0.66,0.25,0.29,0.03,0.28,67600.0,0.03,0.11,0.15,0.19
75,AR2022,0.12,0.24,0.22,0.13,0.66,0.25,0.29,0.03,0.28,67600.0,0.03,0.11,0.15,0.19
76,AR2023,0.11,0.19,0.21,0.12,0.65,0.24,0.28,0.04,0.29,72500.0,0.03,0.1,0.14,0.18
77,AR2024,0.09,0.2,0.2,,,,0.25,0.04,,75500.0,0.03,,,
78,AZ2000,0.06,,0.23,0.25,,,0.31,,,,,,,
79,AZ2001,0.09,,0.19,0.22,,,0.32,,,,,,,
80,AZ2002,0.08,,0.2,0.22,,,0.34,,,,,,,
81,AZ2003,0.1,,0.21,0.2,,,0.36,,,,,,,
82,AZ2004,0.1,,0.2,0.19,,,0.34,,,,,,,
83,AZ2005,0.09,0.2,0.2,0.21,,0.37,0.35,,,47400.0,,,,
84,AZ2006,0.08,,0.2,0.21,0.64,0.39,0.32,,,51400.0,,,,
85,AZ2007,0.09,,0.2,0.2,0.64,0.42,0.33,0.04,,54300.0,0.03,,,
86,AZ2008,0.09,0.22,0.21,0.18,0.62,0.44,0.29,0.06,0.24,56400.0,0.05,0.11,0.16,0.2
87,AZ2009,0.11,,0.23,0.18,0.6,0.43,0.34,0.11,0.24,53000.0,0.1,0.11,0.17,0.22
88,AZ2010,0.12,0.3,0.24,0.2,0.58,0.43,0.35,0.11,0.26,50000.0,0.09,0.12,0.19,0.24
89,AZ2011,0.12,,0.27,0.2,0.54,0.41,0.35,0.09,0.27,49800.0,0.08,0.11,0.18,0.23
90,AZ2012,0.12,,0.27,0.22,0.53,0.38,0.34,0.08,0.27,51000.0,0.07,0.11,0.17,0.22
91,AZ2013,0.13,0.33,0.26,0.2,0.53,0.35,0.32,0.07,0.28,51900.0,0.05,0.1,0.17,0.23
92,AZ2014,0.12,0.32,0.26,0.2,0.52,0.34,0.32,0.08,0.27,55300.0,0.06,0.08,0.15,0.2
93,AZ2015,0.11,0.31,0.25,0.2,0.53,0.34,0.3,0.06,0.28,55600.0,0.05,0.09,0.15,0.19
94,AZ2016,0.11,0.3,0.24,0.21,0.55,0.32,0.31,0.05,0.27,58100.0,0.04,0.09,0.13,0.17
95,AZ2017,0.09,0.28,0.21,0.2,0.58,0.32,0.29,0.05,0.26,62300.0,0.04,0.08,0.13,0.16
96,AZ2018,0.08,0.26,0.2,0.2,0.59,0.29,0.28,0.05,0.25,65700.0,0.04,0.08,0.13,0.17
97,AZ2019,0.09,0.23,0.19,0.19,0.61,0.28,0.27,0.05,0.25,70200.0,0.04,0.08,0.12,0.16
98,AZ2020,,,,,,,,0.08,,,0.07,,,
99,AZ2021,0.09,0.28,0.17,0.2,0.64,0.29,0.28,0.05,0.22,78500.0,0.04,0.08,0.12,0.15
100,AZ2022,0.08,0.25,0.16,0.18,0.65,0.29,0.25,0.04,0.23,84600.0,0.03,0.08,0.12,0.15
101,AZ2022,0.08,0.25,0.16,0.18,0.65,0.29,0.25,0.04,0.23,84600.0,0.03,0.08,0.12,0.15
102,AZ2023,0.08,0.24,0.15,0.19,0.66,0.29,0.24,0.04,0.22,92800.0,0.03,0.08,0.12,0.15
103,AZ2024,0.07,0.24,0.15,,,,0.26,0.03,,100600.0,0.02,,,
104,"Alabama, Congressional District 1 (113th-117th)2012",0.15,,0.28,,,,,,,47714.0,,,,
105,"Alabama, Congressional District 1 (113th-117th)2013",0.13,,0.29,,,,,,,48900.0,,,,
106,"Alabama, Congressional District 1 (113th-117th)2014",0.12,,0.26,,,,,,,50900.0,,,,
107,"Alabama, Congressional District 1 (113th-117th)2015",0.12,,0.23,,,,,,,55400.0,,,,
108,"Alabama, Congressional District 1 (113th-117th)2016",0.14,,0.27,,,,,,,60100.0,,,,
109,"Alabama, Congressional District 1 (113th-117th)2017",0.12,,0.27,,,,,,,57100.0,,,,
110,"Alabama, Congressional District 1 (113th-117th)2018",0.13,,0.25,,,,,,,60700.0,,,,
111,"Alabama, Congressional District 1 (113th-117th)2019",0.13,,0.22,,,,,,,62300.0,,,,
112,"Alabama, Congressional District 1 (113th-117th)2021",0.12,,0.23,,,,,,,66800.0,,,,
113,"Alabama, Congressional District 1 (118th - current)2022",0.09,,0.23,,,,,,,73400.0,,,,
114,"Alabama, Congressional District 1 (118th - current)2023",0.13,,0.22,,,,,,,74400.0,,,,
115,"Alabama, Congressional District 1 (118th - current)2024",0.08,,0.19,,,,,,,84900.0,,,,
116,"Alabama, Congressional District 12005",,,0.29,,,,,,,,,,,
117,"Alabama, Congressional District 12006",0.16,,0.27,,,,,,,,,,,
118,"Alabama, Congressional District 12007",0.15,,0.27,,,,,,,,,,,
119,"Alabama, Congressional District 12008",0.11,,0.26,,,,,,,,,,,
120,"Alabama, Congressional District 12009",0.12,,0.27,,,,,,,,,,,
121,"Alabama, Congressional District 12010",0.15,,0.28,,,,,,,,,,,
122,"Alabama, Congressional District 12011",0.12,,0.28,,,,,,,48200.0,,,,
123,"Alabama, Congressional District 2 (113th-117th)2012",0.16,,0.28,,,,,,,46781.0,,,,
124,"Alabama, Congressional District 2 (113th-117th)2013",0.16,,0.3,,,,,,,45700.0,,,,
125,"Alabama, Congressional District 2 (113th-117th)2014",0.14,,0.29,,,,,,,47500.0,,,,
126,"Alabama, Congressional District 2 (113th-117th)2015",0.16,,0.3,,,,,,,45000.0,,,,
127,"Alabama, Congressional District 2 (113th-117th)2016",0.12,,0.29,,,,,,,46300.0,,,,
128,"Alabama, Congressional District 2 (113th-117th)2017",0.13,,0.29,,,,,,,50800.0,,,,
129,"Alabama, Congressional District 2 (113th-117th)2018",0.14,,0.27,,,,,,,56900.0,,,,
130,"Alabama, Congressional District 2 (113th-117th)2019",0.11,,0.25,,,,,,,53500.0,,,,
131,"Alabama, Congressional District 2 (113th-117th)2021",0.11,,0.24,,,,,,,58200.0,,,,
132,"Alabama, Congressional District 2 (118th - current)2022",0.14,,0.27,,,,,,,64100.0,,,,
133,"Alabama, Congressional District 2 (118th - current)2023",0.11,,0.23,,,,,,,67300.0,,,,
134,"Alabama, Congressional District 2 (118th - current)2024",0.15,,0.29,,,,,,,59000.0,,,,
135,"Alabama, Congressional District 22005",,,0.24,,,,,,,,,,,
136,"Alabama, Congressional District 22006",0.11,,0.25,,,,,,,,,,,
137,"Alabama, Congressional District 22007",0.12,,0.26,,,,,,,,,,,
138,"Alabama, Congressional District 22008",0.1,,0.21,,,,,,,,,,,
139,"Alabama, Congressional District 22009",0.14,,0.29,,,,,,,,,,,
140,"Alabama, Congressional District 22010",0.12,,0.27,,,,,,,,,,,
141,"Alabama, Congressional District 22011",0.14,,0.32,,,,,,,43100.0,,,,
142,"Alabama, Congressional District 3 (113th-117th)2012",0.14,,0.3,,,,,,,47096.0,,,,
143,"Alabama, Congressional District 3 (113th-117th)2013",0.15,,0.27,,,,,,,45400.0,,,,
144,"Alabama, Congressional District 3 (113th-117th)2014",0.15,,0.27,,,,,,,46700.0,,,,
145,"Alabama, Congressional District 3 (113th-117th)2015",0.13,,0.28,,,,,,,51300.0,,,,
146,"Alabama, Congressional District 3 (113th-117th)2016",0.08,,0.2,,,,,,,57800.0,,,,
147,"Alabama, Congressional District 3 (113th-117th)2017",0.12,,0.24,,,,,,,53800.0,,,,
148,"Alabama, Congressional District 3 (113th-117th)2018",0.11,,0.22,,,,,,,61500.0,,,,
149,"Alabama, Congressional District 3 (113th-117th)2019",0.09,,0.17,,,,,,,67300.0,,,,
150,"Alabama, Congressional District 3 (113th-117th)2021",0.12,,0.25,,,,,,,62700.0,,,,
151,"Alabama, Congressional District 3 (118th - current)2022",0.11,,0.23,,,,,,,65700.0,,,,
152,"Alabama, Congressional District 3 (118th - current)2023",0.1,,0.18,,,,,,,77100.0,,,,
153,"Alabama, Congressional District 3 (118th - current)2024",0.11,,0.22,,,,,,,81000.0,,,,
154,"Alabama, Congressional District 32005",,,0.24,,,,,,,,,,,
155,"Alabama, Congressional District 32006",0.12,,0.25,,,,,,,,,,,
156,"Alabama, Congressional District 32007",0.12,,0.26,,,,,,,,,,,
157,"Alabama, Congressional District 32008",0.12,,0.25,,,,,,,,,,,
158,"Alabama, Congressional District 32009",0.12,,0.25,,,,,,,,,,,
159,"Alabama, Congressional District 32010",0.15,,0.33,,,,,,,,,,,
160,"Alabama, Congressional District 32011",0.12,,0.28,,,,,,,44300.0,,,,
161,"Alabama, Congressional District 4 (113th-117th)2012",0.12,,0.29,,,,,,,43311.0,,,,
162,"Alabama, Congressional District 4 (113th-117th)2013",0.1,,0.24,,,,,,,47000.0,,,,
163,"Alabama, Congressional District 4 (113th-117th)2014",0.12,,0.3,,,,,,,46500.0,,,,
164,"Alabama, Congressional District 4 (113th-117th)2015",0.13,,0.3,,,,,,,46800.0,,,,
165,"Alabama, Congressional District 4 (113th-117th)2016",0.13,,0.27,,,,,,,50000.0,,,,
166,"Alabama, Congressional District 4 (113th-117th)2017",0.12,,0.26,,,,,,,57500.0,,,,
167,"Alabama, Congressional District 4 (113th-117th)2018",0.13,,0.27,,,,,,,55500.0,,,,
168,"Alabama, Congressional District 4 (113th-117th)2019",0.1,,0.22,,,,,,,60200.0,,,,
169,"Alabama, Congressional District 4 (113th-117th)2021",0.09,,0.22,,,,,,,71400.0,,,,
170,"Alabama, Congressional District 4 (118th - current)2022",0.12,,0.25,,,,,,,70500.0,,,,
171,"Alabama, Congressional District 4 (118th - current)2023",0.09,,0.24,,,,,,,71000.0,,,,
172,"Alabama, Congressional District 4 (118th - current)2024",0.1,,0.22,,,,,,,82300.0,,,,
173,"Alabama, Congressional District 42005",,,0.22,,,,,,,,,,,
174,"Alabama, Congressional District 42006",0.13,,0.22,,,,,,,,,,,
175,"Alabama, Congressional District 42007",0.11,,0.25,,,,,,,,,,,
176,"Alabama, Congressional District 42008",0.1,,0.22,,,,,,,,,,,
177,"Alabama, Congressional District 42009",0.11,,0.26,,,,,,,,,,,
178,"Alabama, Congressional District 42010",0.13,,0.31,,,,,,,,,,,
179,"Alabama, Congressional District 42011",0.12,,0.28,,,,,,,46300.0,,,,
180,"Alabama, Congressional District 5 (113th-117th)2012",0.08,,0.19,,,,,,,60915.0,,,,
181,"Alabama, Congressional District 5 (113th-117th)2013",0.08,,0.23,,,,,,,59400.0,,,,
182,"Alabama, Congressional District 5 (113th-117th)2014",0.1,,0.23,,,,,,,56600.0,,,,
183,"Alabama, Congressional District 5 (113th-117th)2015",0.1,,0.22,,,,,,,60800.0,,,,
184,"Alabama, Congressional District 5 (113th-117th)2016",0.09,,0.2,,,,,,,67200.0,,,,
185,"Alabama, Congressional District 5 (113th-117th)2017",0.08,,0.2,,,,,,,66100.0,,,,
186,"Alabama, Congressional District 5 (113th-117th)2018",0.07,,0.18,,,,,,,72300.0,,,,
187,"Alabama, Congressional District 5 (113th-117th)2019",0.07,,0.19,,,,,,,70700.0,,,,
188,"Alabama, Congressional District 5 (113th-117th)2021",0.06,,0.15,,,,,,,89200.0,,,,
189,"Alabama, Congressional District 5 (118th - current)2022",0.05,,0.15,,,,,,,96300.0,,,,
190,"Alabama, Congressional District 5 (118th - current)2023",0.07,,0.13,,,,,,,99300.0,,,,
191,"Alabama, Congressional District 5 (118th - current)2024",0.07,,0.14,,,,,,,101300.0,,,,
192,"Alabama, Congressional District 52005",,,0.22,,,,,,,,,,,
193,"Alabama, Congressional District 52006",0.08,,0.19,,,,,,,,,,,
194,"Alabama, Congressional District 52007",0.08,,0.21,,,,,,,,,,,
195,"Alabama, Congressional District 52008",0.08,,0.18,,,,,,,,,,,
196,"Alabama, Congressional District 52009",0.08,,0.19,,,,,,,,,,,
197,"Alabama, Congressional District 52010",0.1,,0.22,,,,,,,,,,,
198,"Alabama, Congressional District 52011",0.1,,0.23,,,,,,,52100.0,,,,
199,"Alabama, Congressional District 6 (113th-117th)2012",0.07,,0.15,,,,,,,72464.0,,,,
200,"Alabama, Congressional District 6 (113th-117th)2013",0.08,,0.18,,,,,,,71700.0,,,,
201,"Alabama, Congressional District 6 (113th-117th)2014",0.06,,0.16,,,,,,,75700.0,,,,
202,"Alabama, Congressional District 6 (113th-117th)2015",0.06,,0.13,,,,,,,78400.0,,,,
203,"Alabama, Congressional District 6 (113th-117th)2016",0.05,,0.13,,,,,,,81800.0,,,,
204,"Alabama, Congressional District 6 (113th-117th)2017",0.06,,0.13,,,,,,,82000.0,,,,
205,"Alabama, Congressional District 6 (113th-117th)2018",0.05,,0.13,,,,,,,89200.0,,,,
206,"Alabama, Congressional District 6 (113th-117th)2019",0.04,,0.12,,,,,,,93400.0,,,,
207,"Alabama, Congressional District 6 (113th-117th)2021",0.05,,0.11,,,,,,,93600.0,,,,
208,"Alabama, Congressional District 6 (118th - current)2022",0.05,,0.11,,,,,,,109000.0,,,,
209,"Alabama, Congressional District 6 (118th - current)2023",0.05,,0.14,,,,,,,99200.0,,,,
210,"Alabama, Congressional District 6 (118th - current)2024",0.07,,0.12,,,,,,,108800.0,,,,
211,"Alabama, Congressional District 62005",,,0.1,,,,,,,,,,,
212,"Alabama, Congressional District 62006",0.04,,0.09,,,,,,,,,,,
213,"Alabama, Congressional District 62007",0.03,,0.1,,,,,,,,,,,
214,"Alabama, Congressional District 62008",0.03,,0.1,,,,,,,,,,,
215,"Alabama, Congressional District 62009",0.05,,0.12,,,,,,,,,,,
216,"Alabama, Congressional District 62010",0.08,,0.15,,,,,,,,,,,
217,"Alabama, Congressional District 62011",0.05,,0.15,,,,,,,72400.0,,,,
218,"Alabama, Congressional District 7 (113th-117th)2012",0.25,,0.44,,,,,,,31350.0,,,,
219,"Alabama, Congressional District 7 (113th-117th)2013",0.23,,0.41,,,,,,,32800.0,,,,
220,"Alabama, Congressional District 7 (113th-117th)2014",0.22,,0.44,,,,,,,29500.0,,,,
221,"Alabama, Congressional District 7 (113th-117th)2015",0.19,,0.42,,,,,,,32700.0,,,,
222,"Alabama, Congressional District 7 (113th-117th)2016",0.21,,0.37,,,,,,,38100.0,,,,
223,"Alabama, Congressional District 7 (113th-117th)2017",0.16,,0.35,,,,,,,37900.0,,,,
224,"Alabama, Congressional District 7 (113th-117th)2018",0.18,,0.36,,,,,,,38900.0,,,,
225,"Alabama, Congressional District 7 (113th-117th)2019",0.19,,0.34,,,,,,,35000.0,,,,
226,"Alabama, Congressional District 7 (113th-117th)2021",0.18,,0.39,,,,,,,37700.0,,,,
227,"Alabama, Congressional District 7 (118th - current)2022",0.17,,0.31,,,,,,,54600.0,,,,
228,"Alabama, Congressional District 7 (118th - current)2023",0.18,,0.36,,,,,,,51700.0,,,,
229,"Alabama, Congressional District 7 (118th - current)2024",0.13,,0.25,,,,,,,65800.0,,,,
230,"Alabama, Congressional District 72005",,,0.44,,,,,,,,,,,
231,"Alabama, Congressional District 72006",0.18,,0.36,,,,,,,,,,,
232,"Alabama, Congressional District 72007",0.18,,0.37,,,,,,,,,,,
233,"Alabama, Congressional District 72008",0.15,,0.33,,,,,,,,,,,
234,"Alabama, Congressional District 72009",0.18,,0.37,,,,,,,,,,,
235,"Alabama, Congressional District 72010",0.19,,0.42,,,,,,,,,,,
236,"Alabama, Congressional District 72011",0.21,,0.43,,,,,,,33500.0,,,,
237,Albuquerque2008,,,,,,,0.25,,,,,,,
238,Albuquerque2009,,,,,,,0.29,,,,,,,
239,Albuquerque2010,,,,,,,0.31,,,,,,,
240,Albuquerque2011,,,,,,,0.37,,,,,,,
241,Albuquerque2012,,,,,,,0.32,,,,,,,
242,Albuquerque2013,,,,,,,0.32,,,,,,,
243,Albuquerque2014,,,,,,,0.32,,,,,,,
244,Albuquerque2015,,,,,,,0.31,,,,,,,
245,Albuquerque2016,,,,,,,0.31,,,,,,,
246,Albuquerque2017,,,,,,,0.28,,,,,,,
247,Albuquerque2018,,,,,,,0.35,,,,,,,
248,Albuquerque2019,,,,,,,0.3,,,,,,,
249,Albuquerque2021,,,,,,,0.3,,,,,,,
250,Albuquerque2022,,,,,,,0.28,,,,,,,
251,Albuquerque2023,,,,,,,0.32,,,,,,,
252,Arlington2010,,,,,,,0.27,,,,,,,
253,Arlington2011,,,,,,,0.31,,,,,,,
254,Arlington2012,,,,,,,0.26,,,,,,,
255,Arlington2013,,,,,,,0.29,,,,,,,
256,Arlington2014,,,,,,,0.27,,,,,,,
257,Arlington2015,,,,,,,0.25,,,,,,,
258,Arlington2016,,,,,,,0.31,,,,,,,
259,Arlington2017,,,,,,,S,,,,,,,
260,Arlington2018,,,,,,,0.23,,,,,,,
261,Arlington2019,,,,,,,0.3,,,,,,,
262,Arlington2021,,,,,,,0.27,,,,,,,
263,Arlington2022,,,,,,,0.17,,,,,,,
264,Arlington2023,,,,,,,S,,,,,,,
265,Atlanta2008,,,,,,,0.42,,,,,,,
266,Atlanta2009,,,,,,,0.41,,,,,,,
267,Atlanta2010,,,,,,,0.45,,,,,,,
268,Atlanta2011,,,,,,,S,,,,,,,
269,Atlanta2012,,,,,,,0.45,,,,,,,
270,Atlanta2013,,,,,,,0.44,,,,,,,
271,Atlanta2014,,,,,,,0.43,,,,,,,
272,Atlanta2015,,,,,,,0.43,,,,,,,
273,Atlanta2016,,,,,,,0.43,,,,,,,
274,Atlanta2017,,,,,,,S,,,,,,,
275,Atlanta2018,,,,,,,S,,,,,,,
276,Atlanta2019,,,,,,,S,,,,,,,
277,Atlanta2021,,,,,,,S,,,,,,,
278,Atlanta2022,,,,,,,S,,,,,,,
279,Atlanta2023,,,,,,,S,,,,,,,
280,Austin2008,,,,,,,0.27,,,,,,,
281,Austin2009,,,,,,,0.3,,,,,,,
282,Austin2010,,,,,,,0.33,,,,,,,
283,Austin2011,,,,,,,0.34,,,,,,,
284,Austin2012,,,,,,,0.35,,,,,,,
285,Austin2013,,,,,,,0.3,,,,,,,
286,Austin2014,,,,,,,0.26,,,,,,,
287,Austin2015,,,,,,,0.23,,,,,,,
288,Austin2016,,,,,,,0.23,,,,,,,
289,Austin2017,,,,,,,0.2,,,,,,,
290,Austin2018,,,,,,,0.24,,,,,,,
291,Austin2019,,,,,,,0.25,,,,,,,
292,Austin2021,,,,,,,0.23,,,,,,,
293,Austin2022,,,,,,,0.21,,,,,,,
294,Austin2023,,,,,,,0.24,,,,,,,
295,Bakersfield2021,,,,,,,0.41,,,,,,,
296,Bakersfield2022,,,,,,,0.34,,,,,,,
297,Bakersfield2023,,,,,,,0.28,,,,,,,
298,Baltimore2008,,,,,,,0.39,,,,,,,
299,Baltimore2009,,,,,,,0.46,,,,,,,
300,Baltimore2010,,,,,,,0.53,,,,,,,
301,Baltimore2011,,,,,,,0.53,,,,,,,
302,Baltimore2012,,,,,,,0.5,,,,,,,
303,Baltimore2013,,,,,,,0.49,,,,,,,
304,Baltimore2014,,,,,,,0.46,,,,,,,
305,Baltimore2015,,,,,,,0.49,,,,,,,
306,Baltimore2016,,,,,,,0.43,,,,,,,
307,Baltimore2017,,,,,,,0.43,,,,,,,
308,Baltimore2018,,,,,,,0.4,,,,,,,
309,Baltimore2019,,,,,,,0.48,,,,,,,
310,Baltimore2021,,,,,,,0.47,,,,,,,
311,Baltimore2022,,,,,,,0.36,,,,,,,
312,Baltimore2023,,,,,,,0.35,,,,,,,
313,Boston2008,,,,,,,0.39,,,,,,,
314,Boston2009,,,,,,,0.39,,,,,,,
315,Boston2010,,,,,,,0.42,,,,,,,
316,Boston2011,,,,,,,0.47,,,,,,,
317,Boston2012,,,,,,,0.44,,,,,,,
318,Boston2013,,,,,,,0.46,,,,,,,
319,Boston2014,,,,,,,0.44,,,,,,,
320,Boston2015,,,,,,,0.41,,,,,,,
321,Boston2016,,,,,,,0.44,,,,,,,
322,Boston2017,,,,,,,0.38,,,,,,,
