,LocYear,fam1: A,fam1: B,fam1: G,fam1: H,fam1: N,fam4,fam5,fam7,fam8,Data_x,Data_y,Data,fam15,fam16,fam18,fam19
130,AZ2015,0.09,0.17,0.1,0.47,0.18,0.38,0.05,0.11,0.06,,,,0.29,5910.0,,
131,AZ2016,0.08,0.18,0.1,0.47,0.17,0.38,0.05,0.09,0.06,0.11,0.26,0.09,0.29,5357.0,,0.4
132,AZ2017,0.09,0.18,0.11,0.45,0.16,0.37,0.05,0.09,0.06,0.08,0.22,0.08,0.29,5025.0,,
133,AZ2018,0.09,0.18,0.11,0.46,0.16,0.38,0.05,0.1,0.05,0.1,0.22,0.06,0.29,4650.0,0.35,
134,AZ2019,0.09,0.18,0.11,0.46,0.15,0.37,0.05,,0.06,0.11,0.22,0.08,0.28,4318.0,,
135,AZ2020,,,,,,,,,,0.08,0.2,0.08,,3916.0,,0.52
136,AZ2021,0.1,0.2,0.13,0.45,0.13,0.36,0.04,,0.05,0.06,0.19,0.06,0.25,3551.0,,
137,AZ2022,0.09,0.2,0.13,0.44,0.14,0.37,0.04,,0.05,0.07,0.19,0.07,0.26,3558.0,0.24,
138,AZ2023,0.1,0.2,0.14,0.43,0.12,0.36,0.04,,0.05,,,,0.25,3461.0,,
139,AZ2024,,,,,,0.36,0.04,,,,,,0.23,,,0.32
140,"Alabama, Congressional District 1 (113th-117th)2012",,,,,,0.42,0.08,0.04,,,,,0.05,,,
141,"Alabama, Congressional District 1 (113th-117th)2013",,,,,,0.43,0.07,0.06,,,,,0.05,,,
142,"Alabama, Congressional District 1 (113th-117th)2014",,,,,,0.39,0.06,0.03,,,,,0.04,,,
143,"Alabama, Congressional District 1 (113th-117th)2015",,,,,,0.4,0.08,0.04,,,,,0.04,,,
144,"Alabama, Congressional District 1 (113th-117th)2016",,,,,,0.42,0.07,0.05,,,,,0.05,,,
145,"Alabama, Congressional District 1 (113th-117th)2017",,,,,,0.4,0.08,0.05,,,,,0.04,,,
146,"Alabama, Congressional District 1 (113th-117th)2018",,,,,,0.41,0.05,0.07,,,,,0.04,,,
147,"Alabama, Congressional District 1 (113th-117th)2019",,,,,,0.44,0.11,,,,,,0.04,,,
148,"Alabama, Congressional District 1 (113th-117th)2021",,,,,,0.41,0.07,,,,,,0.05,,,
149,"Alabama, Congressional District 1 (118th - current)2022",,,,,,0.41,0.06,,,,,,0.04,,,
150,"Alabama, Congressional District 1 (118th - current)2023",,,,,,0.45,0.07,,,,,,0.06,,,
151,"Alabama, Congressional District 1 (118th - current)2024",,,,,,0.33,0.06,,,,,,0.05,,,
152,"Alabama, Congressional District 12005",,,,,,0.42,0.07,0.03,,,,,0.04,,,
153,"Alabama, Congressional District 12006",,,,,,0.35,0.05,0.05,,,,,0.05,,,
154,"Alabama, Congressional District 12007",,,,,,0.43,0.06,0.06,,,,,0.04,,,
155,"Alabama, Congressional District 12008",,,,,,0.39,0.06,0.05,,,,,0.04,,,
156,"Alabama, Congressional District 12009",,,,,,0.4,0.07,0.04,,,,,0.05,,,
157,"Alabama, Congressional District 12010",,,,,,0.43,0.09,0.06,,,,,0.05,,,
158,"Alabama, Congressional District 12011",,,,,,0.46,0.07,0.05,,,,,0.03,,,
159,"Alabama, Congressional District 2 (113th-117th)2012",,,,,,0.43,0.07,0.06,,,,,0.06,,,
160,"Alabama, Congressional District 2 (113th-117th)2013",,,,,,0.45,0.06,0.08,,,,,0.04,,,
161,"Alabama, Congressional District 2 (113th-117th)2014",,,,,,0.43,0.05,0.06,,,,,0.04,,,
162,"Alabama, Congressional District 2 (113th-117th)2015",,,,,,0.45,0.07,0.07,,,,,0.05,,,
163,"Alabama, Congressional District 2 (113th-117th)2016",,,,,,0.43,0.06,0.07,,,,,0.05,,,
164,"Alabama, Congressional District 2 (113th-117th)2017",,,,,,0.43,0.07,0.07,,,,,0.04,,,
165,"Alabama, Congressional District 2 (113th-117th)2018",,,,,,0.44,0.05,0.07,,,,,0.06,,,
166,"Alabama, Congressional District 2 (113th-117th)2019",,,,,,0.43,0.06,,,,,,0.07,,,
