,LocYear,safe1: 1,safe1: 2,safe4,safe5,safe6,safe7,safe9_10,safe1112: E,safe1112: M,Neglect,safe1112: O,safe1112: P,safe1112: S,safe1415: 1,safe1415: 2,safe161718: 1,safe161718: 2,safe1920: 1,safe1920: 2,safe212223
112,AZ2007,0.09,0.4,7460.0,7384.0,1617.0,2492,2,47,N.R.,2705,N.R.,1335,374,,,,,0.07,0.16,0.09
113,AZ2008,0.09,0.41,8207.0,7144.0,1661.0,2153,2,53,N.R.,2467,N.R.,1140,358,,,,,0.07,0.17,0.08
114,AZ2009,0.09,0.39,7588.0,7232.0,1653.0,2691,2,45,N.R.,2811,N.R.,1161,400,,,,,0.08,0.16,0.08
115,AZ2010,0.07,0.37,7891.0,7180.0,2045.0,2673,4,21,N.R.,5061,N.R.,944,326,,,,,0.08,0.17,0.09
116,AZ2011,0.07,0.38,8488.0,7259.0,2275.0,2822,5,38,N.R.,7785,N.R.,1045,334,,,,,0.08,0.17,0.08
117,AZ2012,0.07,0.38,10663.0,7806.0,2275.0,2914,6,32,N.R.,9155,N.R.,998,367,,,,,0.08,0.19,0.06
118,AZ2013,0.06,0.37,10790.0,9455.0,2522.0,3579,8,24,N.R.,12046,N.R.,1311,455,,,,,0.08,0.2,0.06
119,AZ2014,,,12209.0,10007.0,3090.0,3641,8,22,N.R.,12928,N.R.,1234,413,,,,,0.08,0.19,
120,AZ2015,0.04,0.34,12722.0,10819.0,3236.0,4060,7,6,N.R.,11053,N.R.,1071,346,,,,,0.07,0.18,0.06
121,AZ2016,0.05,0.33,11729.0,11972.0,3654.0,4713,7,11,N.R.,10002,N.R.,884,380,,,,,0.06,0.19,0.05
122,AZ2017,0.05,0.32,10057.0,11866.0,4298.0,4749,6,2,N.R.,9112,N.R.,797,319,,,,,0.06,0.21,0.04
123,AZ2018,0.04,0.29,9173.0,10549.0,3926.0,4216,9,9,N.R.,14185,N.R.,1237,617,,,,,0.06,0.21,0.05
124,AZ2019,,,9607.0,9359.0,3373.0,3876,8,8,N.R.,11736,N.R.,1005,494,,,,,,,
125,AZ2020,,,9365.0,8659.0,2905.0,3643,6,5,N.R.,9102,N.R.,829,382,,,,,,,
126,AZ2021,0.03,0.29,8368.0,7379.0,1977.0,3088,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0.02,0.11,0.02,0.11,0.08,0.36,0.11
127,AZ2021,0.03,0.29,8368.0,7379.0,1977.0,3088,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0.02,0.11,0.02,0.11,0.08,0.36,0.11
128,AZ2021,0.03,0.29,8368.0,7379.0,1977.0,3088,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0.02,0.11,0.02,0.11,0.08,0.36,0.11
129,AZ2021,0.03,0.29,8368.0,7379.0,1977.0,3088,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0.02,0.11,0.02,0.11,0.08,0.36,0.11
130,AZ2021,0.03,0.29,8368.0,7379.0,1977.0,3088,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0.02,0.11,0.02,0.11,0.08,0.36,0.11
131,AZ2021,0.03,0.29,8368.0,7379.0,1977.0,3088,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0.02,0.11,0.02,0.11,0.08,0.36,0.11
132,AZ2022,0.03,0.29,6880.0,8337.0,,3522,8,850,14,10992,N.R.,1294,581,0.02,0.1,0.02,0.1,0.07,0.29,0.1
133,AZ2022,0.03,0.29,6880.0,8337.0,,3522,8,850,14,10992,N.R.,1294,581,0.02,0.1,0.02,0.1,0.07,0.29,0.1
134,AZ2022,0.03,0.29,6880.0,8337.0,,3522,8,850,14,10992,N.R.,1294,581,0.02,0.1,0.02,0.1,0.07,0.29,0.1
135,AZ2022,0.03,0.29,6880.0,8337.0,,3522,8,850,14,10992,N.R.,1294,581,0.02,0.1,0.02,0.1,0.07,0.29,0.1
136,AZ2022,0.03,0.29,6880.0,8337.0,,3522,8,850,14,10992,N.R.,1294,581,0.02,0.1,0.02,0.1,0.07,0.29,0.1
137,AZ2022,0.03,0.29,6880.0,8337.0,,3522,8,850,14,10992,N.R.,1294,581,0.02,0.1,0.02,0.1,0.07,0.29,0.1
138,AZ2023,,,5965.0,7410.0,,1495,7,13,27,10242,N.R.,1746,653,,,,,,,
139,AZ2024,,,,,,,6,,,,,,,,,,,,,
140,CA2000,,,45685.0,50112.0,8818.0,11953,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
141,CA2001,,,45176.0,44096.0,9156.0,7651,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
142,CA2002,0.09,0.35,46557.0,45625.0,8840.0,6300,12,23222,N.R.,58171,43781,23140,10926,,,,,0.08,0.16,
143,CA2003,0.1,0.35,45796.0,44350.0,7406.0,5437,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,0.09,0.16,
144,CA2004,0.1,0.35,39366.0,41031.0,7308.0,16299,9,18736,N.R.,63271,215,16886,8556,,,,,0.08,0.16,
145,CA2005,0.09,0.38,41075.0,40723.0,7490.0,16700,9,18670,N.R.,63695,208,15214,7689,,,,,0.07,0.17,0.08
146,CA2006,0.1,0.38,41082.0,40144.0,7364.0,18028,9,17559,N.R.,61597,199,14425,7197,,,,,0.07,0.17,0.08
147,CA2007,0.09,0.38,41390.0,42461.0,7132.0,20832,9,19673,N.R.,62604,149,15258,7801,,,,,0.07,0.17,0.08
148,CA2008,0.09,0.39,36162.0,41479.0,7777.0,17810,8,19104,N.R.,61760,121,14724,7311,,,,,0.08,0.19,0.08
149,CA2009,0.09,0.4,34826.0,39226.0,7438.0,15634,8,18102,N.R.,60301,164,14331,6618,,,,,0.09,0.2,0.08
150,CA2010,0.08,0.38,33199.0,33513.0,6044.0,13394,8,13146,N.R.,60329,81,8218,4959,,,,,0.09,0.21,0.09
151,CA2011,0.07,0.36,32470.0,31810.0,5710.0,14630,9,15321,N.R.,62756,85,8342,4761,,,,,0.09,0.22,0.08
152,CA2012,0.06,0.36,31695.0,30281.0,5938.0,13091,8,13428,N.R.,61389,78,7286,4170,,,,,0.08,0.22,0.06
153,CA2013,0.06,0.37,33600.0,29052.0,5322.0,13167,8,11534,N.R.,62943,68,7014,3893,,,,,0.09,0.21,0.05
154,CA2014,,,33696.0,30317.0,5471.0,14096,8,9938,N.R.,63982,99,6839,3647,,,,,0.08,0.21,
155,CA2015,0.05,0.36,32205.0,31501.0,6079.0,14180,8,9040,161,61984,163,6466,3617,,,,,0.07,0.23,0.05
156,CA2016,0.05,0.35,31254.0,31211.0,6542.0,14689,8,8027,140,59061,307,5935,3615,,,,,0.07,0.24,0.05
157,CA2017,0.04,0.35,28016.0,28539.0,6524.0,15097,7,6857,103,56988,351,5321,3494,,,,,0.07,0.25,0.04
158,CA2018,0.05,0.34,27178.0,25879.0,6966.0,14866,7,6435,122,55894,402,4883,3347,,,,,0.09,0.26,0.05
159,CA2019,,,28138.0,26622.0,6981.0,14436,7,5846,78,56939,334,4582,3413,,,,,,,
160,CA2020,,,24748.0,23704.0,5562.0,15019,7,5422,47,53647,343,4131,3256,,,,,,,
161,CA2021,0.04,0.3,22892.0,24199.0,6242.0,15386,6,4501,56,49013,297,3602,3821,0.01,0.08,0.01,0.08,0.07,0.27,0.08
