,LocYear,educ1: A,educ1: B,educ1: G,educ1: H,educ1: N,educ2,educ3: IS,educ3: OS,educ4,educ5: 3,educ5: 1,educ5: 2,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ7: 1,educ7: 2,educ7: 3,educ7: 4,educ8: 1,educ8: 2,educ8: 3,educ8: 4,educ9: 1,educ9: 2,educ9: 3,educ9: 4,educ10: 1,educ10: 2,educ10: 3,educ10: 4,educ11: 1,educ11: 2,educ11: 3,educ11: 4,educ12: 1,educ12: 2,educ12: 3,educ12: 4,educ13,educ14: yes,educ14: no,educ15: no,educ15: yes,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ18,educ19
17,AK2005,0.07,0.16,0.11,0.57,0.1,,,,0.02,,,,0.09,0.16,0.07,0.61,0.07,0.69,0.29,0.31,0.71,0.7,0.26,0.3,0.74,,,,,0.77,0.34,0.23,0.66,N.A.,N.A.,N.A.,N.A.,,,,,S,,,,,1216.0,1719.0,208.0,584.0,3727.0,0.22,0.22,0.23
18,AK2006,0.07,0.17,0.08,0.57,0.1,,,,0.03,,,,0.07,0.19,0.05,0.6,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217.0,1759.0,248.0,432.0,3656.0,0.18,0.18,0.31
19,AK2007,0.09,0.14,0.08,0.61,0.07,,,,0.03,0.061,0.071,0.065,0.07,0.18,0.05,0.61,0.09,0.73,0.32,0.27,0.68,0.71,0.27,0.29,0.73,N.A.,N.A.,N.A.,N.A.,0.79,0.38,0.21,0.62,,,,,,,,,S,,,,,1293.0,1710.0,117.0,486.0,3606.0,0.17,0.17,0.27
20,AK2008,0.08,0.17,0.09,0.59,0.06,,,,0.03,,,,0.07,0.18,0.06,0.63,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169.0,1549.0,334.0,545.0,3597.0,0.14,,0.3
21,AK2009,0.08,0.18,0.07,0.6,0.07,,,,0.04,,,,0.07,0.18,0.05,0.63,0.08,0.75,0.33,0.25,0.67,0.72,0.27,0.28,0.73,,,,,0.78,0.38,0.22,0.62,,,,,,,,,S,0.86,0.62,0.65,0.84,1262.0,1688.0,78.0,492.0,3520.0,0.18,,0.31
22,AK2010,0.1,0.16,0.08,0.56,0.1,,,,0.03,,,,0.09,0.19,0.06,0.59,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304.0,1785.0,41.0,759.0,3889.0,0.2,,0.3
23,AK2011,0.08,0.16,0.07,0.6,0.08,7,0.04,0.05,0.03,0.124,0.037,0.078,0.08,0.19,0.05,0.62,0.07,0.74,0.35,0.26,0.65,0.73,0.31,0.27,0.69,,,,,0.78,0.37,0.22,0.63,,,,,,,,,S,0.87,0.63,0.65,0.84,1419.0,1787.0,23.0,816.0,4045.0,0.18,,0.32
24,AK2012,0.11,0.16,0.08,0.58,0.07,,,,0.03,,,,0.08,0.18,0.06,0.6,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385.0,1894.0,27.0,840.0,4146.0,0.18,,0.3
25,AK2013,0.09,0.17,0.08,0.57,0.09,8,0.04,0.05,0.03,,,,0.08,0.2,0.07,0.58,0.07,0.72,0.33,0.28,0.67,0.71,0.31,0.29,0.69,,,,,0.77,0.37,0.23,0.63,,,,,,,,,S,0.85,0.6,0.64,0.84,1433.0,1815.0,45.0,853.0,4146.0,0.15,,0.29
26,AK2014,0.09,0.17,0.09,0.56,0.08,,,,0.04,,,,0.08,0.18,0.06,0.61,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.0,1765.0,19.0,811.0,3831.0,0.17,,0.3
27,AK2015,0.09,0.17,0.1,0.55,0.08,2,0.04,0.05,0.03,,,,0.09,0.22,0.07,0.56,0.07,0.71,0.32,0.29,0.68,0.71,0.31,0.29,0.69,,,,,0.78,0.35,0.22,0.65,,,,,,,,,S,0.83,0.57,0.61,0.79,1248.0,1753.0,33.0,785.0,3819.0,0.17,,0.31
28,AK2016,0.07,0.18,0.11,0.58,0.06,,,,0.02,0.05,S,0.04,0.08,0.23,0.05,0.58,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267.0,1617.0,14.0,881.0,3779.0,0.2,,0.27
29,AK2017,0.1,0.17,0.11,0.52,0.1,4,0.04,0.05,0.03,0.05,S,0.03,0.1,0.17,0.07,0.56,0.09,0.66,0.29,0.34,0.71,0.7,0.26,0.3,0.74,,,,,0.71,0.32,0.29,0.68,,,,,,,,,S,0.83,0.61,0.61,0.8,1197.0,1670.0,23.0,1018.0,3908.0,0.16,,0.31
