,LocYear,d1: 0 to 4,d1: 12 to 14,d1: 15 to 17,d1: 5 to 11,d2: Female,d2: Male,d3: Foreign-born,d3: Native-born,d4: H or L,d4: AI or AN,d4: A,d4: B,d4: NH or PI,d4: 2 or more,d4: W,d5
120,AZ1996,352933,195185,192457,474710,592257,623028,,,,,,,,,,
121,AZ1997,354364,197369,200266,485160,602775,634384,,,,,,,,,,
122,AZ1998,365304,205827,207142,507521,626278,659516,,,,,,,,,,
123,AZ1999,376088,215856,211820,528632,648937,683459,,,,,,,,,,
124,AZ2000,384100,223928,218056,547330,668836,704578,,,498147,91564,20851,47783,1787,28573,684709,
125,AZ2000-2002,,,,,,,,,,,,,,,,198000
126,AZ2001,394064,230055,223989,550907,681572,717443,,,519417,90426,22247,49108,1884,30557,685376,
127,AZ2001-2003,,,,,,,,,,,,,,,,207000
128,AZ2002,405018,240290,231174,551456,695956,731982,,,541867,90052,23690,50494,1958,32535,687342,
129,AZ2002-2004,,,,,,,,,,,,,,,,217000
130,AZ2003,416609,247573,236519,552970,708791,744880,,,562880,89203,25021,51877,2072,34779,687839,
131,AZ2004,430031,253472,243011,557940,723665,760789,,,585359,88521,26724,53926,2113,37166,690645,
132,AZ2005,447107,256954,254939,570168,746184,782984,99000,1475000,614466,88644,29426,57020,2319,40249,697044,219000
133,AZ2006,459747,260546,264881,589693,768645,806222,102000,1525000,645920,87993,32652,60427,2435,43347,702093,251000
134,AZ2007,469680,264125,271056,603034,785621,822274,102000,1569000,672537,87228,35087,63269,2632,46154,700988,276000
135,AZ2008,473811,266107,271968,616765,796037,832614,86000,1622000,690967,86103,36847,65704,2678,48619,697733,269000
136,AZ2009,463418,267543,270964,625418,795894,831449,70000,1662000,697615,83881,37914,67422,2755,50933,686823,265000
137,AZ2010,453469,267045,270710,635215,795970,830469,64000,1568000,703490,82313,39021,67508,2816,52941,678350,220000
138,AZ2011,445709,267998,269010,633574,791745,824546,65000,1559000,699257,81781,40299,67817,2779,54607,669751,221000
139,AZ2012,439591,272002,269034,636642,792203,825066,56000,1564000,701407,81659,41615,68883,2760,56374,664571,210000
140,AZ2013,435246,274678,269497,639359,793394,825386,56000,1560000,703368,81790,43233,70220,2725,58343,659101,222000
141,AZ2014,435207,275110,272126,642215,796302,828356,57000,1565000,708619,81744,44900,72088,2678,59759,654870,209000
142,AZ2015,436623,273124,276580,643438,798578,831187,49000,1573000,714712,81108,45834,74409,2690,61323,649689,192000
143,AZ2016,436942,274448,280236,644743,802208,834161,51000,1581000,720966,80654,47271,76713,2740,62955,645070,192000
144,AZ2017,435513,278339,280748,644125,803544,835181,48000,1585000,726537,79875,47895,78488,2812,64051,639067,183000
145,AZ2018,432285,284049,278579,643744,803618,835039,46000,1596000,729911,78888,48261,80377,2844,65600,632776,186000
146,AZ2019,429110,288620,280375,643622,804557,837170,47000,1593000,733810,78051,49299,82195,2879,67335,628158,184000
147,AZ2020,403552,292458,281247,623058,782449,817866,,,692774,75977,50060,83887,2929,68960,625728,
148,AZ2021,397409,291964,287307,621153,781301,816532,34000,1581000,693404,74520,49720,85612,2989,70451,621137,143000
149,AZ2022,396574,286440,293765,620150,780934,815995,48000,1540000,696679,72715,51179,87991,3176,72296,612893,141000
150,AZ2023,395806,279161,299052,618000,778665,813354,49000,1531000,700274,70942,52884,89986,3171,72941,601821,145000
151,AZ2024,396960,275466,299274,616475,777003,811172,52000,1534000,703834,69022,54845,92552,3181,73708,591033,
152,CA1990,2535527,1170657,1172821,3101496,3883792,4096709,,,,,,,,,,
153,CA1991,2667122,1219327,1169893,3189263,4013190,4232415,,,,,,,,,,
154,CA1992,2752791,1263005,1195290,3228561,4108159,4331488,,,,,,,,,,
155,CA1993,2813337,1316146,1211685,3283642,4198336,4426474,,,,,,,,,,
156,CA1994,2836560,1368873,1245996,3338629,4279072,4510986,,,,,,,,,,
157,CA1995,2805155,1396588,1288367,3430468,4342949,4577629,,,,,,,,,,
158,CA1996,2736688,1420064,1345534,3577233,4420653,4658866,,,,,,,,,,
159,CA1997,2646587,1429153,1397191,3662428,4448460,4686899,,,,,,,,,,
160,CA1998,2569646,1443090,1428182,3722320,4462155,4701083,,,,,,,,,,
161,CA1999,2512147,1473354,1448953,3773424,4484436,4723442,,,,,,,,,,
162,CA2000,2490848,1505829,1471147,3799265,4514061,4753028,,,4076752,50244,883742,663189,33789,288160,3271213,
163,CA2000-2002,,,,,,,,,,,,,,,,1919000
164,CA2001,2489298,1548886,1496167,3791115,4543706,4781760,,,4166614,48753,897708,655067,34046,298345,3224933,
165,CA2001-2003,,,,,,,,,,,,,,,,1930000
166,CA2002,2492281,1614623,1526122,3732116,4565751,4799391,,,4255428,47174,908914,645541,34113,308119,3165853,
167,CA2002-2004,,,,,,,,,,,,,,,,1956000
168,CA2003,2517741,1666818,1556472,3663563,4585381,4819213,,,4344860,45850,920349,634284,34331,318910,3106010,
169,CA2004,2541765,1698495,1591638,3586599,4593646,4824851,,,4422208,44387,930506,620727,34107,329030,3037532,
170,CA2005,2555615,1683359,1647952,3518639,4588620,4816945,712000,8944000,4490579,43085,940797,604664,33866,339182,2953392,1976000
171,CA2006,2539421,1658951,1688409,3484103,4572960,4797924,659000,8872000,4545520,41497,947234,588309,33766,348511,2866047,2031000
172,CA2007,2545743,1635484,1710168,3444225,4556080,4779540,624000,8759000,4602842,40052,952390,571026,33607,358014,2777689,2019000
173,CA2008,2561061,1619350,1696183,3445027,4550158,4771463,576000,8787000,4663981,38869,963483,555397,33514,369364,2697013,1983000
174,CA2009,2544721,1594783,1677682,3477315,4537957,4756544,565000,8870000,4713142,38173,970854,540625,33211,380723,2617773,2031000
175,CA2010,2530228,1563876,1661648,3524855,4532453,4748154,571000,8736000,4754214,37575,978906,527666,33111,393815,2555320,1999000
176,CA2011,2533447,1542183,1636196,3533316,4518488,4726654,518000,8750000,4754520,36868,986571,517240,32523,403510,2513910,1958000
177,CA2012,2515114,1536832,1603641,3538931,4496195,4698323,490000,8749000,4740064,36284,995400,505384,32187,411693,2473506,1939000
178,CA2013,2501474,1531990,1574622,3550699,4480842,4677943,473000,8701000,4724271,35694,1012694,494956,31954,420479,2438737,1861000
179,CA2014,2506300,1519161,1553654,3556865,4470084,4665896,469000,8682000,4713072,35107,1031202,486785,31675,429782,2408357,1845000
180,CA2015,2509288,1505168,1549310,3555053,4460289,4658530,450000,8667000,4700357,34779,1056030,478091,31701,439218,2378643,1828000
181,CA2016,2486861,1501639,1544021,3556022,4444563,4643980,455000,8638000,4686914,34191,1074284,468960,31750,446228,2346216,1820000
182,CA2017,2467483,1513396,1529373,3539838,4424785,4625305,421000,8636000,4663388,33810,1096220,460996,31935,453417,2310324,1677000
183,CA2018,2425103,1519861,1511356,3518157,4387646,4586831,421000,8565000,4621597,33339,1106516,452244,31929,459538,2269314,1600000
184,CA2019,2370570,1525294,1501679,3483561,4342422,4538682,410000,8481000,4576928,32570,1107830,444334,31984,463261,2224197,1533000
185,CA2020,2291232,1589547,1545090,3478033,4345833,4558069,,,4577486,32316,1126332,446087,32074,471658,2217949,
186,CA2021,2199725,1567660,1547917,3420720,4263453,4472569,399000,8370000,4506323,31479,1113244,438109,31334,469748,2145785,1425000
187,CA2022,2147597,1531835,1562272,3367908,4201776,4407836,397000,8102000,4459599,30587,1116370,430169,30646,467454,2074787,1316000
188,CA2023,2110485,1492291,1577722,3318025,4148043,4350480,440000,7997000,4417349,29619,1122111,421972,29922,465481,2012069,1352000
189,CA2024,2087677,1474773,1570563,3285539,4109612,4308940,462000,7949000,4376512,28679,1134913,414421,29509,464788,1969730,
190,CO1990,261231,134578,129769,356062,429623,452017,,,,,,,,,,
191,CO1991,261609,139649,131280,363999,436700,459837,,,,,,,,,,
192,CO1992,265869,148010,137509,374189,450671,474906,,,,,,,,,,
193,CO1993,268333,155695,142496,381282,461322,486484,,,,,,,,,,
194,CO1994,268807,162772,148862,385971,470211,496201,,,,,,,,,,
195,CO1995,268909,167351,156130,391920,478750,505560,,,,,,,,,,
196,CO1996,270446,170633,163524,399343,488169,515777,,,,,,,,,,
197,CO1997,275062,174501,171912,409082,501033,529524,,,,,,,,,,
198,CO1998,282940,179152,177712,420262,515311,544755,,,,,,,,,,
199,CO1999,291218,183782,181403,427535,526817,557121,,,,,,,,,,
200,CO2000,298913,187185,184888,435690,537969,568707,,,261970,8103,23835,48152,1088,28340,735188,
201,CO2000-2002,,,,,,,,,,,,,,,,93000
202,CO2001,309229,189994,188878,438546,548447,578200,,,275789,8218,24831,48928,1165,29835,737881,
203,CO2001-2003,,,,,,,,,,,,,,,,101000
204,CO2002,316179,194115,192572,435407,553900,584373,,,289383,8135,25540,49034,1207,31334,733640,
205,CO2002-2004,,,,,,,,,,,,,,,,108000
206,CO2003,322342,196306,193954,431995,557185,587412,,,299737,7934,26324,49117,1229,32699,727557,
207,CO2004,325986,197423,194041,428919,558475,587894,,,307596,7714,26954,48721,1255,33981,720148,
208,CO2005,330857,196337,197946,431259,564007,592392,51000,1125000,319202,7630,27751,48522,1281,35639,716374,107000
209,CO2006,334470,195585,200404,441373,571879,599953,56000,1113000,330976,7575,28832,49291,1334,37415,716409,114000
210,CO2007,339842,194969,203298,451325,580298,609136,51000,1141000,343817,7513,29765,49868,1413,39692,717366,122000
211,CO2008,342857,195134,202583,462715,587066,616223,52000,1154000,354537,7475,30655,50417,1477,41707,717021,132000
212,CO2009,343728,196511,201627,475347,593562,623651,44000,1184000,366358,7429,31818,50639,1518,43841,715610,116000
213,CO2010,344121,197240,200270,485649,599042,628238,45000,1184000,375614,7307,32970,50635,1602,46286,712866,129000
214,CO2011,342091,199916,199287,491538,601628,631204,44000,1184000,380179,7190,33991,50411,1706,47805,711550,120000
215,CO2012,338593,204360,199077,494431,603211,633250,42000,1189000,381849,6963,34988,50772,1797,49058,711034,115000
216,CO2013,335218,208624,199828,497355,605953,635072,42000,1200000,384332,6951,35844,51423,1853,50344,710278,127000
